anchor_question,target_question,condition_type,condition_value,support_count,support_pct,target_best_30_window,target_best_30_coverage_pct,target_best_40_window,target_best_40_coverage_pct,target_best_50_window,target_best_50_coverage_pct,base_best_30_window,base_best_30_coverage_pct,base_best_40_window,base_best_40_coverage_pct,base_best_50_window,base_best_50_coverage_pct,gain_30_pct,gain_40_pct,gain_50_pct,target_median_pct
39,41,band20,0-20%,8,13.56,70-100%,100.0,60-100%,100.0,50-100%,100.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,62.71,55.93,38.98,88.4
40,41,band20,60-80%,9,15.25,20-50%,77.78,10-50%,88.89,0-50%,88.89,20-50%,37.29,20-60%,44.07,40-90%,61.02,40.49,44.82,27.87,30.0
41,42,band20,60-80%,8,13.56,10-40%,62.5,0-40%,87.5,0-50%,87.5,0-30%,35.59,0-40%,47.46,0-50%,59.32,26.91,40.04,28.18,31.35
42,44,band20,20-40%,13,22.03,0-30%,84.62,0-40%,92.31,0-50%,92.31,10-40%,42.37,0-40%,52.54,0-50%,61.02,42.25,39.77,31.29,16.67
43,44,band20,60-80%,13,22.03,10-40%,84.62,0-40%,92.31,0-50%,100.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,42.25,39.77,38.98,26.92
37,38,band20,40-60%,13,22.03,0-30%,84.62,0-40%,84.62,0-50%,84.62,0-30%,44.07,0-40%,45.76,0-50%,54.24,40.55,38.86,30.38,21.88
41,40,band20,80-100%,18,30.51,20-50%,77.78,20-60%,88.89,20-70%,94.44,20-50%,38.98,10-50%,50.85,10-60%,61.02,38.8,38.04,33.42,41.47
39,40,band20,0-20%,8,13.56,30-60%,75.0,30-70%,87.5,20-70%,87.5,20-50%,38.98,10-50%,50.85,10-60%,61.02,36.02,36.65,26.48,49.7
43,42,band20,0-20%,12,20.34,40-70%,75.0,40-80%,83.33,40-90%,91.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,39.41,35.87,32.35,59.09
39,44,band20,0-20%,8,13.56,10-40%,62.5,20-60%,87.5,10-60%,100.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,20.13,34.96,38.98,31.25
38,37,band20,60-80%,13,22.03,10-40%,84.62,10-50%,92.31,0-50%,92.31,0-30%,40.68,10-50%,57.63,0-50%,62.71,43.94,34.68,29.6,20.83
39,38,band20,60-80%,10,16.95,0-30%,80.0,0-40%,80.0,0-50%,90.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,35.93,34.24,35.76,19.87
37,38,band20,20-40%,10,16.95,70-100%,70.0,60-100%,80.0,50-100%,80.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,25.93,34.24,25.76,75.0
38,39,band20,60-80%,13,22.03,20-50%,84.62,20-60%,92.31,0-50%,92.31,20-50%,49.15,20-60%,59.32,20-70%,66.1,35.47,32.99,26.21,29.17
42,45,band20,20-40%,13,22.03,60-90%,76.92,50-90%,92.31,40-90%,100.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,26.07,32.99,28.81,70.0
44,45,band20,0-20%,13,22.03,60-90%,76.92,60-100%,92.31,50-100%,100.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,26.07,32.99,28.81,75.0
42,41,band20,20-40%,13,22.03,60-90%,61.54,60-100%,76.92,40-90%,84.62,20-50%,37.29,20-60%,44.07,40-90%,61.02,24.25,32.85,23.6,75.0
38,37,band20,20-40%,10,16.95,40-70%,60.0,40-80%,90.0,30-80%,90.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,19.32,32.37,27.29,51.56
40,37,band20,80-100%,10,16.95,10-40%,60.0,10-50%,90.0,0-50%,90.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,19.32,32.37,27.29,25.69
39,38,half,后半区,22,37.29,0-30%,72.73,0-40%,77.27,0-50%,81.82,0-30%,44.07,0-40%,45.76,0-50%,54.24,28.66,31.51,27.58,19.87
41,37,band20,20-40%,9,15.25,0-30%,55.56,10-50%,88.89,0-50%,100.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,14.88,31.26,37.29,16.67
44,41,band20,80-100%,12,20.34,20-50%,66.67,10-50%,75.0,0-50%,91.67,20-50%,37.29,20-60%,44.07,40-90%,61.02,29.38,30.93,30.65,30.0
41,38,band20,40-60%,17,28.81,0-30%,70.59,0-40%,76.47,0-50%,76.47,0-30%,44.07,0-40%,45.76,0-50%,54.24,26.52,30.71,22.23,17.86
40,39,band20,80-100%,10,16.95,20-50%,80.0,20-60%,90.0,0-50%,90.0,20-50%,49.15,20-60%,59.32,20-70%,66.1,30.85,30.68,23.9,34.5
36,37,half,后半区,16,27.12,10-40%,62.5,10-50%,87.5,10-60%,93.75,0-30%,40.68,10-50%,57.63,0-50%,62.71,21.82,29.87,31.04,23.87
36,37,band20,60-80%,8,13.56,0-30%,62.5,10-50%,87.5,10-60%,100.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,21.82,29.87,37.29,23.87
43,42,band20,60-80%,13,22.03,10-40%,69.23,10-50%,76.92,0-50%,76.92,0-30%,35.59,0-40%,47.46,0-50%,59.32,33.64,29.46,17.6,23.33
44,42,band20,0-20%,13,22.03,10-40%,69.23,10-50%,76.92,0-50%,76.92,0-30%,35.59,0-40%,47.46,0-50%,59.32,33.64,29.46,17.6,34.62
39,38,band20,0-20%,8,13.56,20-50%,62.5,20-60%,75.0,10-60%,75.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,18.43,29.24,20.76,48.22
39,40,band20,60-80%,10,16.95,30-60%,70.0,20-60%,80.0,10-60%,90.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,31.02,29.15,28.98,41.47
38,40,band20,40-60%,10,16.95,50-80%,60.0,40-80%,80.0,30-80%,80.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,21.02,29.15,18.98,55.12
37,39,band20,0-20%,17,28.81,10-40%,82.35,10-50%,88.24,10-60%,94.12,20-50%,49.15,20-60%,59.32,20-70%,66.1,33.2,28.92,28.02,30.0
40,41,band20,0-20%,11,18.64,40-70%,63.64,30-70%,72.73,30-80%,81.82,20-50%,37.29,20-60%,44.07,40-90%,61.02,26.35,28.66,20.8,59.38
44,43,band20,0-20%,13,22.03,50-80%,69.23,40-80%,76.92,30-80%,84.62,50-80%,37.29,40-80%,49.15,50-100%,59.32,31.94,27.77,25.3,59.09
45,42,band20,20-40%,8,13.56,40-70%,62.5,40-80%,75.0,30-80%,75.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,26.91,27.54,15.68,54.55
44,42,band20,80-100%,12,20.34,50-80%,58.33,40-80%,75.0,30-80%,75.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,22.74,27.54,15.68,58.39
37,44,band20,20-40%,10,16.95,10-40%,70.0,0-40%,80.0,0-50%,80.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,27.63,27.46,18.98,31.98
37,36,band20,60-80%,16,27.12,20-50%,93.75,10-50%,100.0,0-50%,100.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,31.04,27.12,18.64,30.0
41,40,band20,20-40%,9,15.25,70-100%,66.67,60-100%,77.78,50-100%,88.89,20-50%,38.98,10-50%,50.85,10-60%,61.02,27.69,26.93,27.87,78.12
40,41,band20,80-100%,10,16.95,20-50%,70.0,10-50%,70.0,20-70%,80.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,32.71,25.93,18.98,48.22
39,43,band20,0-20%,8,13.56,70-100%,62.5,60-100%,75.0,50-100%,75.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,25.21,25.85,15.68,73.75
42,43,band20,40-60%,12,20.34,0-30%,58.33,0-40%,75.0,0-50%,75.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,21.04,25.85,15.68,17.43
45,44,band20,60-80%,18,30.51,0-30%,55.56,0-40%,77.78,0-50%,77.78,10-40%,42.37,0-40%,52.54,0-50%,61.02,13.19,25.24,16.76,28.46
41,42,band20,80-100%,18,30.51,10-40%,55.56,10-50%,72.22,0-50%,77.78,0-30%,35.59,0-40%,47.46,0-50%,59.32,19.97,24.76,18.46,33.7
43,44,band20,80-100%,13,22.03,30-60%,69.23,20-60%,76.92,10-60%,84.62,10-40%,42.37,0-40%,52.54,0-50%,61.02,26.86,24.38,23.6,37.5
44,38,band20,40-60%,10,16.95,0-30%,70.0,0-40%,70.0,0-50%,70.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,25.93,24.24,15.76,23.44
42,43,band20,0-20%,15,25.42,70-100%,60.0,60-100%,73.33,50-100%,80.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,22.71,24.18,20.68,73.08
37,40,band20,60-80%,16,27.12,20-50%,62.5,20-60%,75.0,20-70%,81.25,20-50%,38.98,10-50%,50.85,10-60%,61.02,23.52,24.15,20.23,33.22
44,39,band20,80-100%,12,20.34,20-50%,83.33,10-50%,83.33,0-50%,83.33,20-50%,49.15,20-60%,59.32,20-70%,66.1,34.18,24.01,17.23,36.62
40,44,band20,40-60%,17,28.81,10-40%,70.59,10-50%,76.47,0-50%,76.47,10-40%,42.37,0-40%,52.54,0-50%,61.02,28.22,23.93,15.45,34.38
40,41,half,后半区,25,42.37,20-50%,60.0,10-50%,68.0,0-50%,76.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,22.71,23.93,14.98,42.31
43,42,half,前半区,24,40.68,40-70%,54.17,40-80%,70.83,40-90%,79.17,0-30%,35.59,0-40%,47.46,0-50%,59.32,18.58,23.37,19.85,59.09
44,43,band20,20-40%,18,30.51,60-90%,61.11,50-90%,72.22,50-100%,83.33,50-80%,37.29,40-80%,49.15,50-100%,59.32,23.82,23.07,24.01,71.35
39,41,band20,40-60%,12,20.34,40-70%,66.67,30-70%,66.67,20-70%,83.33,20-50%,37.29,20-60%,44.07,40-90%,61.02,29.38,22.6,22.31,56.48
44,42,band20,40-60%,10,16.95,40-70%,60.0,40-80%,70.0,30-80%,70.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,24.41,22.54,10.68,51.21
38,42,band20,40-60%,10,16.95,0-30%,50.0,0-40%,70.0,0-50%,70.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,14.41,22.54,10.68,32.4
40,42,band20,80-100%,10,16.95,10-40%,50.0,20-60%,70.0,10-60%,80.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,14.41,22.54,20.68,32.59
42,40,band20,0-20%,15,25.42,20-50%,60.0,10-50%,73.33,0-50%,73.33,20-50%,38.98,10-50%,50.85,10-60%,61.02,21.02,22.48,12.31,34.62
36,44,band20,60-80%,8,13.56,10-40%,62.5,20-60%,75.0,10-60%,75.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,20.13,22.46,13.98,35.94
45,44,band20,20-40%,8,13.56,30-60%,62.5,30-70%,75.0,30-80%,87.5,10-40%,42.37,0-40%,52.54,0-50%,61.02,20.13,22.46,26.48,53.12
44,37,band20,40-60%,10,16.95,60-90%,60.0,40-80%,80.0,40-90%,90.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,19.32,22.37,27.29,66.03
38,39,half,后半区,27,45.76,20-50%,74.07,20-60%,81.48,0-50%,85.19,20-50%,49.15,20-60%,59.32,20-70%,66.1,24.92,22.16,19.09,31.82
45,44,half,后半区,39,66.1,10-40%,58.97,0-40%,74.36,0-50%,79.49,10-40%,42.37,0-40%,52.54,0-50%,61.02,16.6,21.82,18.47,30.0
43,42,band20,80-100%,13,22.03,0-30%,53.85,0-40%,69.23,0-50%,76.92,0-30%,35.59,0-40%,47.46,0-50%,59.32,18.26,21.77,17.6,26.92
43,44,half,后半区,35,59.32,10-40%,60.0,0-40%,74.29,0-50%,82.86,10-40%,42.37,0-40%,52.54,0-50%,61.02,17.63,21.75,21.84,30.0
36,37,band20,40-60%,19,32.2,0-30%,78.95,0-40%,78.95,0-50%,78.95,0-30%,40.68,10-50%,57.63,0-50%,62.71,38.27,21.32,16.24,17.86
37,36,band20,0-20%,17,28.81,30-60%,88.24,30-70%,94.12,30-80%,100.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,25.53,21.24,18.64,46.43
43,42,half,后半区,35,59.32,10-40%,54.29,0-40%,68.57,0-50%,74.29,0-30%,35.59,0-40%,47.46,0-50%,59.32,18.7,21.11,14.97,28.12
41,38,band20,20-40%,9,15.25,50-80%,55.56,50-90%,66.67,40-90%,66.67,0-30%,44.07,0-40%,45.76,0-50%,54.24,11.49,20.91,12.43,59.38
45,36,band20,80-100%,16,27.12,20-50%,75.0,10-50%,93.75,0-50%,93.75,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,20.87,12.39,36.31
37,43,band20,20-40%,10,16.95,40-70%,60.0,30-70%,70.0,40-90%,90.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,22.71,20.85,30.68,58.75
40,43,band20,80-100%,10,16.95,40-70%,60.0,40-80%,70.0,30-80%,70.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,22.71,20.85,10.68,58.01
38,45,band20,40-60%,10,16.95,40-70%,70.0,40-80%,80.0,40-90%,100.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,19.15,20.68,28.81,65.59
40,41,band20,40-60%,17,28.81,70-100%,64.71,60-100%,64.71,50-100%,64.71,20-50%,37.29,20-60%,44.07,40-90%,61.02,27.42,20.64,3.69,83.33
38,41,band20,0-20%,17,28.81,40-70%,58.82,20-60%,64.71,10-60%,70.59,20-50%,37.29,20-60%,44.07,40-90%,61.02,21.53,20.64,9.57,46.88
42,43,band20,20-40%,13,22.03,50-80%,69.23,40-80%,69.23,50-100%,92.31,50-80%,37.29,40-80%,49.15,50-100%,59.32,31.94,20.08,32.99,60.71
41,44,band20,80-100%,18,30.51,10-40%,66.67,0-40%,72.22,10-60%,83.33,10-40%,42.37,0-40%,52.54,0-50%,61.02,24.3,19.68,22.31,32.19
36,39,band20,40-60%,19,32.2,10-40%,63.16,20-60%,78.95,20-70%,84.21,20-50%,49.15,20-60%,59.32,20-70%,66.1,14.01,19.63,18.11,31.82
39,38,band20,20-40%,23,38.98,60-90%,56.52,50-90%,65.22,40-90%,73.91,0-30%,44.07,0-40%,45.76,0-50%,54.24,12.45,19.46,19.67,65.38
44,37,band20,0-20%,13,22.03,10-40%,53.85,10-50%,76.92,10-60%,84.62,0-30%,40.68,10-50%,57.63,0-50%,62.71,13.17,19.29,21.91,32.35
44,42,band20,20-40%,18,30.51,0-30%,61.11,0-40%,66.67,0-50%,66.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,25.52,19.21,7.35,23.33
45,42,band20,40-60%,12,20.34,50-80%,58.33,50-90%,66.67,20-70%,66.67,0-30%,35.59,0-40%,47.46,0-50%,59.32,22.74,19.21,7.35,58.39
45,42,band20,60-80%,18,30.51,20-50%,55.56,10-50%,66.67,0-50%,77.78,0-30%,35.59,0-40%,47.46,0-50%,59.32,19.97,19.21,18.46,37.98
41,42,band20,20-40%,9,15.25,40-70%,55.56,40-80%,66.67,40-90%,77.78,0-30%,35.59,0-40%,47.46,0-50%,59.32,19.97,19.21,18.46,59.09
41,42,half,后半区,30,50.85,10-40%,53.33,0-40%,66.67,0-50%,80.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,17.74,19.21,20.68,31.35
38,40,band20,20-40%,10,16.95,20-50%,60.0,10-50%,70.0,0-50%,80.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,21.02,19.15,18.98,31.19
41,40,half,后半区,30,50.85,20-50%,56.67,10-50%,70.0,0-50%,80.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,17.69,19.15,18.98,39.43
37,38,band20,0-20%,17,28.81,40-70%,58.82,40-80%,64.71,40-90%,82.35,0-30%,44.07,0-40%,45.76,0-50%,54.24,14.75,18.95,28.11,60.71
42,36,band20,40-60%,12,20.34,20-50%,75.0,20-60%,91.67,10-60%,100.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,18.79,18.64,31.37
45,36,band20,40-60%,12,20.34,10-40%,75.0,10-50%,91.67,0-50%,91.67,20-50%,62.71,10-50%,72.88,10-60%,81.36,12.29,18.79,10.31,33.48
38,39,band20,80-100%,9,15.25,20-50%,66.67,20-60%,77.78,0-50%,77.78,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,18.46,11.68,37.5
40,39,band20,60-80%,9,15.25,20-50%,66.67,20-60%,77.78,0-50%,77.78,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,18.46,11.68,26.47
41,39,band20,20-40%,9,15.25,20-50%,66.67,20-60%,77.78,20-70%,88.89,20-50%,49.15,20-60%,59.32,20-70%,66.1,17.52,18.46,22.79,37.5
40,45,band20,60-80%,9,15.25,60-90%,66.67,50-90%,77.78,40-90%,100.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,15.82,18.46,28.81,63.33
44,45,band20,20-40%,18,30.51,60-90%,61.11,50-90%,77.78,50-100%,88.89,60-90%,50.85,50-90%,59.32,40-90%,71.19,10.26,18.46,17.7,71.95
43,41,band20,40-60%,16,27.12,30-60%,56.25,30-70%,62.5,40-90%,75.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,18.96,18.43,13.98,48.22
36,41,band20,60-80%,8,13.56,40-70%,50.0,40-80%,62.5,40-90%,75.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,18.43,13.98,60.88
43,40,band20,60-80%,13,22.03,30-60%,61.54,20-60%,69.23,10-60%,76.92,20-50%,38.98,10-50%,50.85,10-60%,61.02,22.56,18.38,15.9,45.83
37,36,half,后半区,22,37.29,20-50%,86.36,10-50%,90.91,10-60%,95.45,20-50%,62.71,10-50%,72.88,10-60%,81.36,23.65,18.03,14.09,30.0
37,38,half,后半区,22,37.29,0-30%,59.09,0-40%,63.64,0-50%,72.73,0-30%,44.07,0-40%,45.76,0-50%,54.24,15.02,17.88,18.49,26.56
36,42,band20,20-40%,23,38.98,40-70%,52.17,30-70%,65.22,20-70%,82.61,0-30%,35.59,0-40%,47.46,0-50%,59.32,16.58,17.76,23.29,43.33
44,42,half,后半区,23,38.98,40-70%,47.83,40-80%,65.22,30-80%,69.57,0-30%,35.59,0-40%,47.46,0-50%,59.32,12.24,17.76,10.25,50.0
44,39,band20,0-20%,13,22.03,20-50%,61.54,20-60%,76.92,20-70%,84.62,20-50%,49.15,20-60%,59.32,20-70%,66.1,12.39,17.6,18.52,37.5
45,42,half,前半区,20,33.9,40-70%,55.0,40-80%,65.0,30-80%,70.0,0-30%,35.59,0-40%,47.46,0-50%,59.32,19.41,17.54,10.68,58.39
44,43,half,前半区,36,61.02,50-80%,55.56,50-90%,66.67,50-100%,80.56,50-80%,37.29,40-80%,49.15,50-100%,59.32,18.27,17.52,21.24,65.59
38,43,band20,80-100%,9,15.25,60-90%,55.56,50-90%,66.67,40-90%,77.78,50-80%,37.29,40-80%,49.15,50-100%,59.32,18.27,17.52,18.46,60.71
39,43,band20,40-60%,12,20.34,60-90%,50.0,60-100%,66.67,50-100%,75.0,50-80%,37.29,40-80%,49.15,50-100%,59.32,12.71,17.52,15.68,69.87
43,41,band20,60-80%,13,22.03,70-100%,61.54,60-100%,61.54,50-100%,69.23,20-50%,37.29,20-60%,44.07,40-90%,61.02,24.25,17.47,8.21,80.77
44,41,band20,0-20%,13,22.03,60-90%,53.85,50-90%,61.54,40-90%,84.62,20-50%,37.29,20-60%,44.07,40-90%,61.02,16.56,17.47,23.6,63.89
40,44,band20,80-100%,10,16.95,0-30%,60.0,0-40%,70.0,0-50%,70.0,10-40%,42.37,0-40%,52.54,0-50%,61.02,17.63,17.46,8.98,25.96
36,38,band20,40-60%,19,32.2,60-90%,52.63,60-100%,63.16,50-100%,68.42,0-30%,44.07,0-40%,45.76,0-50%,54.24,8.56,17.4,14.18,65.38
43,37,band20,40-60%,16,27.12,10-40%,62.5,10-50%,75.0,0-50%,81.25,0-30%,40.68,10-50%,57.63,0-50%,62.71,21.82,17.37,18.54,22.91
39,37,band20,0-20%,8,13.56,50-80%,50.0,40-80%,75.0,30-80%,75.0,0-30%,40.68,10-50%,57.63,0-50%,62.71,9.32,17.37,12.29,60.0
37,45,band20,0-20%,17,28.81,60-90%,70.59,50-90%,76.47,40-90%,88.24,60-90%,50.85,50-90%,59.32,40-90%,71.19,19.74,17.15,17.05,68.18
38,36,band20,40-60%,10,16.95,20-50%,90.0,10-50%,90.0,0-50%,90.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,27.29,17.12,8.64,35.53
44,41,band20,20-40%,18,30.51,70-100%,50.0,60-100%,61.11,40-90%,66.67,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,17.04,5.65,74.47
45,38,band20,20-40%,8,13.56,0-30%,62.5,0-40%,62.5,0-50%,62.5,0-30%,44.07,0-40%,45.76,0-50%,54.24,18.43,16.74,8.26,25.0
37,38,band20,60-80%,16,27.12,0-30%,56.25,0-40%,62.5,0-50%,75.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,12.18,16.74,20.76,27.09
36,38,band20,60-80%,8,13.56,0-30%,50.0,10-50%,62.5,0-50%,62.5,0-30%,44.07,0-40%,45.76,0-50%,54.24,5.93,16.74,8.26,36.98
38,37,half,后半区,27,45.76,0-30%,66.67,0-40%,74.07,0-50%,77.78,0-30%,40.68,10-50%,57.63,0-50%,62.71,25.99,16.44,15.07,20.83
39,37,band20,20-40%,23,38.98,10-40%,69.57,0-40%,73.91,10-60%,82.61,0-30%,40.68,10-50%,57.63,0-50%,62.71,28.89,16.28,19.9,19.23
45,44,band20,80-100%,16,27.12,10-40%,56.25,0-40%,68.75,0-50%,81.25,10-40%,42.37,0-40%,52.54,0-50%,61.02,13.88,16.21,20.23,30.91
40,36,band20,60-80%,9,15.25,20-50%,77.78,10-50%,88.89,10-60%,100.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,15.07,16.01,18.64,32.35
42,41,band20,0-20%,15,25.42,40-70%,53.33,40-80%,60.0,40-90%,80.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,16.04,15.93,18.98,60.71
38,41,band20,40-60%,10,16.95,70-100%,50.0,60-100%,60.0,50-100%,60.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,15.93,-1.02,73.33
42,41,half,前半区,35,59.32,70-100%,48.57,60-100%,60.0,40-90%,71.43,20-50%,37.29,20-60%,44.07,40-90%,61.02,11.28,15.93,10.41,68.18
39,40,band20,40-60%,12,20.34,0-30%,58.33,0-40%,66.67,0-50%,66.67,20-50%,38.98,10-50%,50.85,10-60%,61.02,19.35,15.82,5.65,25.96
44,40,band20,20-40%,18,30.51,30-60%,55.56,10-50%,66.67,10-60%,83.33,20-50%,38.98,10-50%,50.85,10-60%,61.02,16.58,15.82,22.31,45.83
38,40,band20,80-100%,9,15.25,10-40%,55.56,10-50%,66.67,10-60%,77.78,20-50%,38.98,10-50%,50.85,10-60%,61.02,16.58,15.82,16.76,34.62
42,40,band20,60-80%,12,20.34,30-60%,50.0,30-70%,66.67,20-70%,75.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,15.82,13.98,45.83
44,38,band20,0-20%,13,22.03,60-90%,53.85,60-100%,61.54,40-90%,61.54,0-30%,44.07,0-40%,45.76,0-50%,54.24,9.78,15.78,7.3,65.38
42,37,band20,0-20%,15,25.42,10-40%,66.67,10-50%,73.33,10-60%,86.67,0-30%,40.68,10-50%,57.63,0-50%,62.71,25.99,15.7,23.96,25.0
