q1,q2,count,pearson_pct,spearman_pct,q1_before_q2_pct,same_paragraph_pct,within_1_paragraph_pct,within_2_paragraph_pct,within_3_paragraph_pct,same_20_band_pct,same_half_pct,median_gap_paragraphs,mean_gap_paragraphs,std_gap_paragraphs,median_gap_pct
36,37,59,-0.365,-0.4178,47.46,0.0,1.69,5.08,22.03,1.69,42.37,-2.0,0.12,5.2,-12.5
36,38,59,0.1997,0.2892,55.93,0.0,16.95,40.68,57.63,15.25,54.24,1.0,0.31,4.87,6.67
36,39,59,-0.0959,-0.1262,49.15,0.0,13.56,37.29,59.32,22.03,52.54,-1.0,0.32,4.71,-5.88
36,40,59,-0.0309,-0.0357,59.32,1.69,25.42,40.68,52.54,16.95,50.85,1.0,0.86,4.84,7.7
36,41,59,-0.0152,-0.0231,62.71,0.0,15.25,28.81,49.15,15.25,49.15,2.0,1.95,4.87,16.66
36,42,59,-0.1788,-0.1888,55.93,0.0,20.34,33.9,52.54,22.03,49.15,1.0,0.24,5.19,7.69
36,43,59,0.1897,0.1382,64.41,1.69,27.12,45.76,54.24,23.73,50.85,1.0,1.78,4.51,9.09
36,44,59,-0.2256,-0.2202,47.46,0.0,16.95,32.2,38.98,13.56,50.85,-1.0,0.53,5.61,-6.67
36,45,59,0.0244,0.0231,71.19,0.0,18.64,40.68,45.76,16.95,44.07,2.0,2.49,4.49,16.67
37,38,59,-0.4238,-0.3908,47.46,0.0,5.08,10.17,20.34,5.08,37.29,-1.0,0.19,6.55,-7.69
37,39,59,0.3276,0.3229,69.49,0.0,23.73,52.54,64.41,18.64,59.32,1.0,0.2,4.25,10.0
37,40,59,-0.2305,-0.2361,52.54,0.0,16.95,27.12,37.29,15.25,40.68,1.0,0.75,5.9,5.89
37,41,59,-0.0091,-0.0161,66.1,0.0,10.17,40.68,54.24,10.17,52.54,2.0,1.83,5.44,14.29
37,42,59,0.1659,0.1743,47.46,0.0,27.12,35.59,49.15,18.64,55.93,-1.0,0.12,4.8,-6.24
37,43,59,-0.0134,0.0134,64.41,1.69,13.56,27.12,42.37,18.64,40.68,3.0,1.66,5.42,18.74
37,44,59,0.1053,0.1126,45.76,3.39,27.12,44.07,57.63,27.12,61.02,-1.0,0.41,5.15,-5.56
37,45,59,-0.2817,-0.2526,66.1,1.69,20.34,30.51,33.9,15.25,33.9,2.0,2.37,5.75,18.18
38,39,59,-0.4141,-0.4178,44.07,0.0,0.0,8.47,18.64,3.39,30.51,-2.0,0.02,6.64,-16.66
38,40,59,-0.0647,-0.1054,55.93,0.0,25.42,35.59,50.85,22.03,49.15,1.0,0.56,6.24,6.67
38,41,59,-0.0252,0.0173,64.41,0.0,15.25,23.73,35.59,15.25,50.85,2.0,1.64,5.92,16.66
38,42,59,-0.0896,-0.0442,45.76,0.0,11.86,25.42,42.37,10.17,47.46,-1.0,-0.07,5.86,-9.09
38,43,59,-0.0993,-0.0998,54.24,0.0,18.64,30.51,42.37,20.34,45.76,1.0,1.47,6.47,7.7
38,44,59,-0.0407,-0.0677,55.93,0.0,11.86,25.42,38.98,10.17,49.15,1.0,0.22,6.1,10.0
38,45,59,-0.1525,-0.139,66.1,0.0,13.56,28.81,44.07,16.95,38.98,3.0,2.19,6.08,18.74
39,40,59,-0.3165,-0.3249,49.15,0.0,1.69,10.17,32.2,5.08,40.68,-1.0,0.54,6.27,-8.34
39,41,59,-0.2181,-0.2159,61.02,0.0,25.42,40.68,47.46,16.95,49.15,1.0,1.63,5.88,7.14
39,42,59,0.1572,0.1218,52.54,0.0,23.73,32.2,50.85,18.64,59.32,1.0,-0.08,4.82,6.26
39,43,59,-0.0604,-0.0183,66.1,0.0,15.25,30.51,49.15,11.86,50.85,2.0,1.46,5.59,15.38
39,44,59,0.1269,0.1006,45.76,0.0,11.86,32.2,49.15,13.56,50.85,-2.0,0.2,5.18,-11.77
39,45,59,-0.143,-0.1189,67.8,1.69,18.64,30.51,38.98,20.34,44.07,3.0,2.17,5.33,17.65
40,41,59,-0.2153,-0.2404,57.63,0.0,1.69,5.08,11.86,1.69,27.12,4.0,1.08,6.22,27.27
40,42,59,-0.0191,0.0267,49.15,0.0,11.86,42.37,47.46,16.95,57.63,-1.0,-0.63,5.64,-6.67
40,43,59,-0.0796,-0.0917,52.54,0.0,15.25,27.12,42.37,8.47,45.76,1.0,0.92,5.98,6.66
40,44,59,-0.0253,-0.0294,49.15,0.0,23.73,33.9,50.85,16.95,55.93,-1.0,-0.34,5.91,-6.24
40,45,59,0.1369,0.126,57.63,0.0,20.34,32.2,49.15,11.86,55.93,2.0,1.63,5.06,12.5
41,42,59,-0.4165,-0.4123,37.29,0.0,0.0,8.47,16.95,1.69,28.81,-4.0,-1.71,6.52,-26.66
41,43,59,0.104,0.1036,50.85,0.0,20.34,38.98,49.15,20.34,57.63,1.0,-0.17,5.56,5.88
41,44,59,-0.3463,-0.3082,38.98,0.0,6.78,20.34,33.9,10.17,37.29,-3.0,-1.42,6.69,-21.43
41,45,59,0.1095,0.0982,57.63,0.0,20.34,30.51,52.54,13.56,50.85,1.0,0.54,5.03,7.14
42,43,59,-0.4048,-0.4096,55.93,0.0,5.08,11.86,22.03,3.39,30.51,2.0,1.54,6.64,16.66
42,44,59,0.1598,0.1297,54.24,0.0,15.25,40.68,55.93,18.64,57.63,1.0,0.29,5.29,7.69
42,45,59,-0.1122,-0.11,62.71,0.0,16.95,28.81,37.29,11.86,33.9,2.0,2.25,5.51,16.67
43,44,59,-0.4638,-0.4163,38.98,0.0,0.0,0.0,11.86,0.0,22.03,-4.0,-1.25,7.07,-28.57
43,45,59,0.2425,0.236,59.32,0.0,16.95,40.68,54.24,18.64,69.49,1.0,0.71,4.77,9.09
44,45,59,-0.5089,-0.4947,59.32,0.0,0.0,6.78,15.25,1.69,22.03,4.0,1.97,6.61,33.33
