answer,elim,key,kind,options,pred,question,reasons,rule,score,section
A,,2022.06.set1,miss,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids,B,1,,unique_shortest,,A
A,,2022.06.set1,hit,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently,A,4,,unique_shortest,,A
D,,2022.06.set1,hit,A: They were repeatedly rejected by shops | B: They were popular with her classmates | C: They showed her natural talent | D: They were mostly failures,D,6,,unique_shortest,,A
A,,2022.06.set1,miss,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability,B,14,,unique_shortest,,B
D,,2022.06.set1,miss,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,C,17,,unique_shortest,,C
C,,2022.06.set1,miss,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,B,19,,unique_shortest,,C
D,,2022.06.set1,hit,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,D,24,,unique_shortest,,C
B,,2022.06.set1,miss,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,A,25,,unique_shortest,,C
A,,2022.12.set1,hit,A: She hasn't started writing it | B: She hasn't decided on a topic | C: She is proofreading the first draft | D: She is working on the references,A,1,,unique_shortest,,A
B,,2022.12.set1,hit,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources,B,2,,unique_shortest,,A
A,,2022.06.set1,miss,A: He is a staff writer | B: He is an adventurer | C: He is an author of fiction | D: He is a father of four kids,D,1,,unique_longest,,A
B,,2022.06.set1,miss,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics,C,2,,unique_longest,,A
A,,2022.06.set1,miss,A: Her tastes in books changed | B: She realized the power of reading | C: Her reading opened her eyes to the world | D: She began to perceive the world differently,C,4,,unique_longest,,A
D,,2022.06.set1,miss,A: She is a website designer | B: She is a university graduate | C: She is a main street store owner | D: She is a successful entrepreneur,C,5,,unique_longest,,A
A,,2022.06.set1,miss,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts. | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay,D,16,,unique_longest,,C
D,,2022.06.set1,hit,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,D,17,,unique_longest,,C
C,,2022.06.set1,hit,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,C,19,,unique_longest,,C
A,,2022.06.set1,miss,A: It is characterized by diversity | B: Its goals are quite inconsistent | C: Its members have similar backgrounds | D: It is connected by a unique mechanism,D,21,,unique_longest,,C
D,,2022.06.set1,miss,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,A,24,,unique_longest,,C
B,,2022.06.set1,hit,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,B,25,,unique_longest,,C
D,,2022.06.set1,hit,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,D,17,,choose_unique_absolute,,C
A,,2022.12.set1,miss,A: Consumers now know much more about technology | B: Their mass production has sharply reduced the price | C: Consumers tend to favor all that is novel | D: Their quality has been greatly improved,C,20,,choose_unique_absolute,,C
A,,2022.12.set2,miss,A: Prioritizing happiness over money | B: Joining the club to get her new book | C: Managing one's personal finances wisely | D: Consuming more only when earning more,D,1,,choose_unique_absolute,,A
B,,2022.12.set2,miss,A: They are usually crowded | B: They use high-tech systems | C: They accept smartcards only | D: They are colourfully decorated,C,15,,choose_unique_absolute,,B
A,,2022.12.set2,miss,A: It is strictly forbidden | B: It is an uncommon sight | C: It is a gesture of human generosity | D: It is allowed only in certain areas,D,17,,choose_unique_absolute,,C
A,,2023.03.set1,hit,A: They always cost more than expected | B: They are joyous and exciting occasions | C: They should be paid up by the attendees | D: They are dreams coming true to the brides,A,12,,choose_unique_absolute,,B
D,,2023.06.set1,miss,A: People have only one social engagement per week | B: Working together enhances friendship | C: Few people have devoted friends | D: Friendships benefit work,A,22,,choose_unique_absolute,,C
A,,2023.06.set2,miss,A: Take the initiative to reduce electronic waste | B: Take due caution in upgrading their products | C: Invest in constructing more recycling facilities | D: Substitute all toxic substances with non-toxic ones,D,14,,choose_unique_absolute,,B
A,,2023.06.set2,hit,A: There must have been some reason for human migration | B: There have been changes in animals' living conditions | C: Humans adapted themselves to the environment there | D: Humans had access to abundant food sources there,A,24,,choose_unique_absolute,,C
B,,2024.12.set1,hit,A: To prevent hackers from cracking our secret codes | B: To show that all the guidelines are being followed | C: To provide evidence that passwords are forgotten | D: To convince our computer that we are human,B,9,,choose_unique_absolute,,B
D,,2022.06.set1,miss,A: Appear submissive and grateful to doctors and nurses | B: Express a strong desire to be consulted or informed | C: Refrain from saying anything that sounds negative | D: Note down the names of all the doctors and nurses,C,17,,choose_unique_negation,,C
C,,2022.06.set1,miss,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,A,19,,choose_unique_negation,,C
A,,2022.12.set1,hit,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them. | D: To reflect on their causes,A,10,,choose_unique_negation,,B
B,,2022.12.set2,miss,A: Share their food with the bear they see | B: Be prepared to run into a hungry bear | C: Try to be friendly with the bear they meet | D: Refrain from teasing bears with cubs,D,18,,choose_unique_negation,,C
B,,2022.12.set2,hit,A: It refers to opinions that are radical and widespread | B: It means making judgments without adequate knowledge | C: It refers to deep-rooted beliefs about someone or something | D: It means sticking to one's judgments even when proved wrong,B,19,,choose_unique_negation,,C
B,,2023.03.set1,hit,A: They show genius which defies description | B: They accomplish feats many of us cannot | C: They create very high commercial value | D: They bring great honor to their country,B,9,,choose_unique_negation,,B
B,,2023.06.set1,miss,A: She no longer hates people talking loudly in the dorm | B: She misses her roommates she used to complain about | C: She begins to enjoy the movies she once found irritating | D: She finds the crowded dorm as cozy as her new apartment,A,2,,choose_unique_negation,,A
B,,2023.06.set1,miss,A: Anxiety has become a serious problem for an increasing number of people | B: Extreme levels of anxiety can adversely affect cognitive performance | C: People diagnosed with anxiety disorder may forget things selectively | D: There is no direct correlation between memory and levels of anxiety,D,18,,choose_unique_negation,,C
D,,2023.06.set1,miss,A: They compare products from different companies before making a choice | B: They get information from other consumers' postings and comments | C: They lose patience when their phone call is no promptly answered | D: They expect to get instantaneous responses to their inquiry,C,19,,choose_unique_negation,,C
D,,2023.06.set2,hit,A: How internet monitoring can be implemented | B: How to encourage productive internet surfing | C: How cyberloafing affects overall productivity | D: How to prevent employees from cyberloafing,D,16,,choose_unique_negation,,C
C,,2022.06.set1,miss,A: Its members work together despite risks of failure | B: It prioritizes recruiting young energetic members | C: Its members stay in touch even after it breaks up | D: It grows more and more mature professionally,D,19,,choose_unique_comparison,,C
D,,2022.06.set1,hit,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,D,24,,choose_unique_comparison,,C
D,,2022.12.set1,miss,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice,C,4,,choose_unique_comparison,,A
C,,2022.12.set1,hit,A: It has witnessed a spectacular surge in demand | B: It has met much criticism from environmentalists | C: It has seen more small businesses offering environment-friendly products | D: It has experienced increasingly fierce competition among global companies,C,19,,choose_unique_comparison,,C
A,,2022.12.set2,miss,A: Prioritizing happiness over money | B: Joining the club to get her new book | C: Managing one's personal finances wisely | D: Consuming more only when earning more,D,1,,choose_unique_comparison,,A
C,,2022.12.set2,miss,A: It would give him more time to be with his loved ones | B: It would be good for those who value relationships | C: It would mean major sacrifices for him | D: It would deprive him of his individuality,A,4,,choose_unique_comparison,,A
A,,2022.12.set2,miss,A: The number of passengers dropped sharply | B: It served more and more commuters | C: The number of stations increased to 50 | D: It became the longest in the United Kingdom,B,12,,choose_unique_comparison,,B
D,,2022.12.set2,hit,A: It is generally recognised as a world heritage site | B: It is the fastest way to reach the city's south side | C: It constitutes a source of revenue for the city | D: It helps reduce traffic jams in the city centre,D,14,,choose_unique_comparison,,B
D,,2023.03.set1,miss,A: Smoothing relationships in the workplace | B: Making rational and productive decisions | C: Focusing on employees' career growth | D: Preserving their power and prestige,C,8,,choose_unique_comparison,,A
A,,2023.03.set1,hit,A: They always cost more than expected | B: They are joyous and exciting occasions | C: They should be paid up by the attendees | D: They are dreams coming true to the brides,A,12,,choose_unique_comparison,,B
D,,2022.06.set1,miss,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,A,24,,choose_unique_advice_plan,,C
B,,2022.06.set1,hit,A: They do not resist novel lifestyles | B: They do not try to keep up with others | C: They do not care what they have acquired | D: They do not pressure themselves to get rich.,B,25,,choose_unique_advice_plan,,C
B,,2022.12.set1,hit,A: He lent many books to the man for reference | B: He offered the man advice on resource hunting | C: He published a lot in a number of reputable journals | D: He told the man to be selective when using e-resources,B,2,,choose_unique_advice_plan,,A
D,,2022.12.set1,hit,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice,D,4,,choose_unique_advice_plan,,A
A,,2022.12.set1,hit,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them. | D: To reflect on their causes,A,10,,choose_unique_advice_plan,,B
B,,2022.12.set1,miss,A: They can attract customers with the healthy qualities of their products | B: They can boost sales of healthy foods by making them visually appealing | C: They can turn to marketing professors for advice | D: They can rely on advertising for sales promotion,C,18,,choose_unique_advice_plan,,C
B,,2022.12.set2,miss,A: Share their food with the bear they see | B: Be prepared to run into a hungry bear | C: Try to be friendly with the bear they meet | D: Refrain from teasing bears with cubs,C,18,,choose_unique_advice_plan,,C
A,,2022.12.set2,miss,A: When we start to feel superior | B: When we mix with prejudiced people | C: When we live in an isolated neighborhood | D: When we try to keep up with those around us,D,21,,choose_unique_advice_plan,,C
B,,2023.03.set1,miss,A: They show genius which defies description | B: They accomplish feats many of us cannot | C: They create very high commercial value | D: They bring great honor to their country,D,9,,choose_unique_advice_plan,,B
D,,2023.03.set1,miss,A: Work hard to attract attention from publishers | B: Gain support from travel advertising companies | C: Try to find a full-time job in the travel business. | D: Create something unique to enter the industry,C,24,,choose_unique_advice_plan,,C
D,,2022.12.set1,miss,A: Change her research methodology | B: Narrow down her dissertation topic | C: Consult her professor more | D: Follow the man's advice,A,4,,choose_unique_research_word,,A
D,,2022.12.set1,miss,A: The key to increasing healthy food supply | B: The best way to improve marketing research | C: The impact of advertisements on consumption | D: The importance of the appearance of food,B,16,,choose_unique_research_word,,C
A,,2023.12.set2,miss,A: To argue about the value of a college degree | B: To debate the validity of current survey data | C: To account for the drastic decline in employment among men | D: To compare men without college degrees with those who have,B,16,,choose_unique_research_word,,C
A,,2024.12.set1,hit,A: They have constantly urged her to study hard | B: They have worked hard to finance her education | C: They have tried to create a positive learning environment | D: They have pursued the family's dreams together with her,A,6,,choose_unique_research_word,,A
D,,2024.12.set2,miss,A: Their decision on investigating beef consumption | B: Their original ideas about the domestic market | C: Their different approaches to a case study | D: Their end-of-semester business projects,C,5,,choose_unique_research_word,,A
B,,2022.06.set1,hit,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal,B,20,,choose_unique_future,,C
A,,2022.12.set1,hit,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them. | D: To reflect on their causes,A,10,,choose_unique_future,,B
A,,2023.06.set2,miss,A: It can be solved | B: It is certain to worsen | C: It will be fixed by tech companies | D: It is unavoidable in the long run,C,15,,choose_unique_future,,B
C,,2024.12.set2,hit,A: He doesn't think it legitimate to depend on his father | B: He thinks his financial situation has now changed | C: He doesn't think it will provide him with a living | D: He thinks it nourishes the financially secure only,C,2,,choose_unique_future,,A
B,,2022.06.set1,miss,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal,D,20,,choose_unique_cause_word,,C
A,,2022.12.set1,miss,A: To avoid them in the future | B: To warn others against them | C: To make good sense of them. | D: To reflect on their causes,D,10,,choose_unique_cause_word,,B
A,,2022.12.set2,miss,A: It is vital to one's mental health | B: It leads to reconciliation and peace | C: It promotes interpersonal relationship | D: It keeps one from traumatic experience,B,9,,choose_unique_cause_word,,B
D,,2023.03.set1,miss,A: Medication is available for treating loneliness | B: Loneliness rarely results from living alone | C: Being busy helps fight loneliness | D: Loneliness is probably reversible,B,20,,choose_unique_cause_word,,C
B,,2023.06.set2,miss,A: Cyberloafing is a sign of workers' laziness | B: Cyberloafing may relieve employees of stress | C: Employee engagement is closely related to job satisfaction | D: Overuse of social media may lead to decline in productivity,D,17,,choose_unique_cause_word,,C
A,,2023.06.set2,hit,A: There must have been some reason for human migration | B: There have been changes in animals' living conditions | C: Humans adapted themselves to the environment there | D: Humans had access to abundant food sources there,A,24,,choose_unique_cause_word,,C
C,,2023.06.set2,miss,A: Ho humans settled down on the Arabian Peninsula | B: When modern humans started to disperse out of Africa | C: What path modern humans took to migrate out of Africa | D: Why fresh water is so important for human survival,D,25,,choose_unique_cause_word,,C
A,,2024.12.set1,miss,A: They will not be able to take the placeof human personal trainers | B: They will not be able to comprehend some of the profiles users put in | C: They cannot lead to optimal results with their mathematical approach | D: They cannot match humans in arranging meticulous workout schedules,C,15,,choose_unique_cause_word,,B
A,,2022.06.set1,miss,A: They don't treat patients with due respect | B: They witness a lot of doctor-patient conflicts. | C: They have to deal with social workers9 strikes | D: They don't care how much patients have to pay,B,16,,choose_unique_example_named,,C
C,,2024.12.set1,miss,A: Her work no longer interested her | B: Her training app did not fit her | C: Her fitness fell into a slump | D: Her business deteriorated,B,12,,choose_unique_example_named,,B
B,,2022.06.set1,miss,A: They are interested in fairy tales | B: They are curious and autonomous | C: They are a headache to their parents | D: They are ignorant of politics,C,2,,choose_unique_generic_group,,A
B,,2022.12.set1,miss,A: Keep an eye on their employees | B: Motivate and inspire their team | C: Sacrifice some of the immediate goals | D: Have greater ambition in overall planning,A,14,,choose_unique_generic_group,,B
C,,2022.12.set1,miss,A: It has witnessed a spectacular surge in demand | B: It has met much criticism from environmentalists | C: It has seen more small businesses offering environment-friendly products | D: It has experienced increasingly fierce competition among global companies,D,19,,choose_unique_generic_group,,C
A,,2022.12.set2,miss,A: When we start to feel superior | B: When we mix with prejudiced people | C: When we live in an isolated neighborhood | D: When we try to keep up with those around us,B,21,,choose_unique_generic_group,,C
D,,2023.03.set1,miss,A: Smoothing relationships in the workplace | B: Making rational and productive decisions | C: Focusing on employees' career growth | D: Preserving their power and prestige,C,8,,choose_unique_generic_group,,A
B,,2023.03.set1,miss,A: The number of older Americans living alone is on the rise | B: Chronic loneliness does harm to senior citizens in particular | C: Correlations have been found between loneliness and ill health | D: A growing number of US seniors face the risk of early mortality,A,19,,choose_unique_generic_group,,C
D,,2023.03.set1,miss,A: Work hard to attract attention from publishers | B: Gain support from travel advertising companies | C: Try to find a full-time job in the travel business. | D: Create something unique to enter the industry,B,24,,choose_unique_generic_group,,C
B,,2023.06.set1,miss,A: She no longer hates people talking loudly in the dorm | B: She misses her roommates she used to complain about | C: She begins to enjoy the movies she once found irritating | D: She finds the crowded dorm as cozy as her new apartment,A,2,,choose_unique_generic_group,,A
C,,2023.06.set1,hit,A: It fails to keep up with the radical changes of society | B: It fails to ensure universities get sufficient resources | C: It has not prepared young people for the job market | D: It has not fostered the growth of the arts disciplines,C,6,,choose_unique_generic_group,,A
A,,2023.06.set1,miss,A: It is quite common | B: It is rarely noticed | C: It seldom annoys people | D: It occurs when one is alone,C,9,,choose_unique_generic_group,,B
A,,2022.06.set1,miss,A: Mostly by chance | B: Basically objective | C: Subject to their mental alertness | D: Dependent on their analytical ability,D,14,,choose_unique_abstract,,B
B,,2022.06.set1,miss,A: Their differences are likely to impact productivity | B: Their similarity is conducive to future collaboration | C: Their connections strengthen with the passage of time | D: Their mutual understanding stems from a common goal,A,20,,choose_unique_abstract,,C
D,,2022.06.set1,miss,A: They count on others to take the responsibility | B: They change their investment strategy in time | C: They think they themselves are to blame | D: They persist rather than get discouraged,B,24,,choose_unique_abstract,,C
D,,2022.12.set1,hit,A: The general public | B: Those who are overweight | C: Those who want to lose weight | D: The medical community,D,7,,choose_unique_abstract,,A
D,,2022.12.set1,miss,A: Placing their own interests over their staff's | B: Being overwhelmed by their daily routines | C: Lacking the ability to relate to their staff | D: Spending too much time handling email,C,12,,choose_unique_abstract,,B
A,,2022.12.set2,hit,A: Prioritizing happiness over money | B: Joining the club to get her new book | C: Managing one's personal finances wisely | D: Consuming more only when earning more,A,1,,choose_unique_abstract,,A
D,,2023.03.set1,hit,A: The man got a poor evaluation from his colleagues | B: The man made little contribution to the company | C: The man paid attention to trivial things | D: The man had an attitude problem,D,5,,choose_unique_abstract,,A
D,,2023.03.set1,miss,A: It determines people's moods | B: It can impact people's wellbeing | C: It is closely related to people's emotions | D: It can influence people's personalities,B,16,,choose_unique_abstract,,C
B,,2023.03.set1,miss,A: The number of older Americans living alone is on the rise | B: Chronic loneliness does harm to senior citizens in particular | C: Correlations have been found between loneliness and ill health | D: A growing number of US seniors face the risk of early mortality,D,19,,choose_unique_abstract,,C
C,,2023.06.set1,miss,A: It fails to keep up with the radical changes of society | B: It fails to ensure universities get sufficient resources | C: It has not prepared young people for the job market | D: It has not fostered the growth of the arts disciplines,A,6,,choose_unique_abstract,,A
C,,2022.12.set1,miss,A: He has translated 12 books | B: He is a well-known nutritionist | C: His books sell well worldwide | D: His latest book sold a million copies,A,5,,choose_unique_number,,A
C,,2022.12.set1,miss,"A: It is invested in a series of businesses | B: It is used exclusively for its maintenance | C: It is used to run a supermarket for the needy | D: It is estimated to be about $ 40,000 a month",D,24,,choose_unique_number,,C
A,,2022.12.set2,miss,"A: She was in debt | B: She was a financial adviser | C: She earned $ 30,000 a month | D: She enjoyed a happy life",C,2,,choose_unique_number,,A
A,,2022.12.set2,miss,A: The number of passengers dropped sharply | B: It served more and more commuters | C: The number of stations increased to 50 | D: It became the longest in the United Kingdom,C,12,,choose_unique_number,,B
C,,2024.12.set2,hit,A: Buying it from coffee shops | B: Building up a tolerance of it | C: Drinking it after 2 pm | D: Consuming it with sugar,C,17,,choose_unique_number,,C
