key,kind,set_no,year,month,name,path,pages,text_method,text_chars,ascii_words,listening_markers,original_name,original_method,note
2022.06.set2,parse,2,2022,6,2022.06英语六级真题解析第2套 .pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.06英语六级真题解析第2套 .pdf",10,ocr,19275,538,2,2022.06六级真题第2套【可复制可搜索，打印首选】.pdf,ocr,
2022.06.set3,parse,3,2022,6,2022.06英语六级真题解析第3套 .pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.06英语六级真题解析第3套 .pdf",2,ocr,3611,327,0,2022.06六级真题第3套【可复制可搜索，打印首选】.pdf,ocr,no_listening_block_found
2022.06.set1,parse,1,2022,6,2022.06英语六级考试解析第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.06英语六级考试解析第1套.pdf",15,ocr,37482,2525,4,2022.06六级真题第1套【可复制可搜索，打印首选】.pdf,text,
2022.09.set1,parse,1,2022,9,2022.09英语六级解析第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.09英语六级解析第1套.pdf",14,text,51846,2650,4,2022.09英语六级真题第1套【可复制可搜索，打印首选】.pdf,text,
2022.09.set2,parse,2,2022,9,2022.09英语六级解析第2套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.09英语六级解析第2套.pdf",1,ocr,2489,290,0,2022.09英语六级真题第2套【可复制可搜索，打印首选】.pdf,ocr,no_listening_block_found
2022.09.set3,parse,3,2022,9,2022.09英语六级解析第3套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.09英语六级解析第3套.pdf",1,ocr,2857,327,0,2022.09英语六级真题第3套【可复制可搜索，打印首选】.pdf,ocr,no_listening_block_found
2022.12.set1,parse,1,2022,12,2022.12六级真题第1套答案及详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.12六级真题第1套答案及详解.pdf",15,ocr,38192,2542,4,2022年12月英语六级真题第1套.pdf,text,
2022.12.set2,parse,2,2022,12,2022.12六级真题第2套答案及详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.12六级真题第2套答案及详解.pdf",15,ocr,39056,2556,4,2022年12月英语六级真题第2套.pdf,text,
2022.12.set3,parse,3,2022,12,2022.12六级真题第3套答案及详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2022.12六级真题第3套答案及详解.pdf",9,ocr,20479,438,2,2022年12月英语六级真题第3套.pdf,ocr,
2023.03.set1,parse,1,2023,3,2023.03英语六级详解第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.03英语六级详解第1套.pdf",13,ocr,36176,2473,4,2023.03英语六级真题第1套.pdf,text,
2023.03.set2,parse,2,2023,3,2023.03英语六级详解第2套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.03英语六级详解第2套.pdf",1,ocr,2811,328,0,2023.03英语六级真题第2套.pdf,ocr,no_listening_block_found
2023.03.set3,parse,3,2023,3,2023.03英语六级详解第3套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.03英语六级详解第3套.pdf",1,ocr,2771,320,0,2023.03英语六级真题第3套.pdf,ocr,no_listening_block_found
2023.06.set1,parse,1,2023,6,2023.06六级真题第1套详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.06六级真题第1套详解.pdf",15,ocr,38198,2580,4,2023.06英语六级真题第1套.pdf,text,
2023.06.set2,parse,2,2023,6,2023.06六级真题第2套详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.06六级真题第2套详解.pdf",15,ocr,37877,2499,4,2023.06英语六级真题第2套.pdf,text,
2023.06.set3,parse,3,2023,6,2023.06六级真题第3套详解.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.06六级真题第3套详解.pdf",9,ocr,19051,475,2,2023.06英语六级真题第3套.pdf,ocr,
2023.12.set1,parse,1,2023,12,2023.12英语六级真题第1套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.12英语六级真题第1套解析.pdf",20,ocr,35103,2386,7,2023.12六级真题第1套【可复制可检索】.pdf,text,
2023.12.set2,parse,2,2023,12,2023.12英语六级真题第2套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.12英语六级真题第2套解析.pdf",19,ocr,35465,2409,7,2023.12六级真题第2套【可复制可检索】.pdf,text,
2023.12.set3,parse,3,2023,12,2023.12英语六级真题第3套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2023.12英语六级真题第3套解析.pdf",12,ocr,19891,474,3,2023.12六级真题第3套【可复制可检索】.pdf,ocr,
2024.12.set1,parse,1,2024,12,2024.12英语六级解析第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.12英语六级解析第1套.pdf",15,ocr,38625,2705,4,2024.12六级真题第1套.pdf,text,
2024.12.set2,parse,2,2024,12,2024.12英语六级解析第2套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.12英语六级解析第2套.pdf",15,ocr,38155,2616,4,2024.12六级真题第2套.pdf,text,
2024.12.set3,parse,3,2024,12,2024.12英语六级解析第3套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.12英语六级解析第3套.pdf",9,ocr,20355,599,2,2024.12六级真题第3套.pdf,ocr,
2024.06.set1,parse,1,2024,6,2024.6六级第一套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.6六级第一套解析.pdf",20,ocr,35069,2338,7,2024年6月六级第一套原题.pdf,ocr,
2024.06.set3,parse,3,2024,6,2024.6六级第三套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.6六级第三套解析.pdf",12,ocr,20093,563,3,2024年6月六级第三套原题.pdf,ocr,
2024.06.set2,parse,2,2024,6,2024.6六级第二套解析.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2024.6六级第二套解析.pdf",20,ocr,35103,2449,7,2024年6月六级第二套原题.pdf,ocr,
2025.06.set1,parse,1,2025,6,2025.06英语六级解析第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.06英语六级解析第1套.pdf",20,ocr,35150,2385,7,2025.06六级真题第1套.pdf,text,
2025.06.set2,parse,2,2025,6,2025.06英语六级解析第2套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.06英语六级解析第2套.pdf",20,ocr,35283,2416,7,2025.06六级真题第2套.pdf,text,
2025.06.set3,parse,3,2025,6,2025.06英语六级解析第3套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.06英语六级解析第3套.pdf",12,ocr,21827,640,3,2025.06六级真题第3套.pdf,ocr,
2025.12.set1,parse,1,2025,12,2025.12英语六级解析第1套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.12英语六级解析第1套.pdf",18,ocr,35522,2328,7,2025.12六级真题第1套.pdf,text,
2025.12.set2,parse,2,2025,12,2025.12英语六级解析第2套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.12英语六级解析第2套.pdf",19,ocr,34047,2315,7,2025.12六级真题第2套.pdf,text,
2025.12.set3,parse,3,2025,12,2025.12英语六级解析第3套.pdf,"D:\code LateX\elegantbook\CET6\cet 6\Some PDF files do not have a text layer, and in such cases, OCR (Optical Character Recognition) will fail\2025.12英语六级解析第3套.pdf",11,ocr,18243,413,3,2025.12六级真题第3套.pdf,ocr,
