unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-7f0641f9b2ca,F00001,开头段,1,1,2,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-7f0641f9b2ca,,U-f1c638544b6c,0,1,SKIPPED_PROTECTED,6d4526ce01a9d02144ff83d92b0e8f3bd362277d88b292e7275e7e858ff78781,,,NOT_RUN,NOT_RUN,
U-f1c638544b6c,F00001,开头段 / 定性,1,3,4,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-f1c638544b6c,U-7f0641f9b2ca,U-0fa770b7823f,0,1,SKIPPED_PROTECTED,bb0c6aa284684e11d094d13634327f6d3fef60d4ec24d96546a6aec5e5d73277,,,NOT_RUN,NOT_RUN,
U-0fa770b7823f,F00001,开头段 / 定性 / 肯定作用,1,5,13,9,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-0fa770b7823f,U-f1c638544b6c,U-ae72e6401bd3,0,14,SKIPPED_PROTECTED,394664483295b47d1561d425ff47f53fa1a918d478d492fa50b4f2320623b897,,,NOT_RUN,NOT_RUN,
U-ae72e6401bd3,F00001,开头段 / 定性 / 契合需求,1,14,21,8,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ae72e6401bd3,U-0fa770b7823f,U-54338823ef6a,5,9,PENDING,ff2163a22f70b5602db6ffdb63673c2c37790d984c51f2c80f77101348069cf3,,,NOT_RUN,NOT_RUN,
U-54338823ef6a,F00001,开头段 / 定性 / 反映强调,1,22,35,14,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-54338823ef6a,U-ae72e6401bd3,U-408520135450,12,25,PENDING,fc07a8321357b5266d211278b4d9d725e5559b2123616bca7a4a8ae6050e88b2,,,NOT_RUN,NOT_RUN,
U-408520135450,F00001,开头段 / 定性 / 促使号召,1,36,44,9,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-408520135450,U-54338823ef6a,U-88fd70db1e18,0,15,SKIPPED_PROTECTED,6b47217a7563aceda8f6ab51d17de5851a0d316653862056e1e0f9a6083674c0,,,NOT_RUN,NOT_RUN,
U-88fd70db1e18,F00001,开头段 / 定性 / 危机剖析,1,45,68,24,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-88fd70db1e18,U-408520135450,U-ebbcc33f85c6,7,40,PENDING,0471f1b868cb69d494d357faebd6ae312baff5dab457ef1be1c58b1857868b8e,,,NOT_RUN,NOT_RUN,
U-ebbcc33f85c6,F00001,开头段 / 定性 / 平衡双轨,1,69,90,22,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ebbcc33f85c6,U-88fd70db1e18,U-567ac4722bbe,88,33,PENDING,850ecd32cc8cfa2a21758323ee645faeade2bb607bb2b603668f6e85b0145dc3,,,NOT_RUN,NOT_RUN,
U-567ac4722bbe,F00001,开头段 / 观点,1,91,92,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-567ac4722bbe,U-ebbcc33f85c6,U-e2920171c54c,0,1,SKIPPED_PROTECTED,ef3c7a161604725f37510aa284cd5052982856e0d1e74ada0799c743b0124c09,,,NOT_RUN,NOT_RUN,
U-e2920171c54c,F00001,开头段 / 观点 / 积极趋势,1,93,119,27,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-e2920171c54c,U-567ac4722bbe,U-69a791bc7324,96,40,PENDING,47bafec97078d6d7ebc14997158732b51b0eef62c94895a608e9d58b7da10d4d,,,NOT_RUN,NOT_RUN,
U-69a791bc7324,F00001,开头段 / 观点 / 危机挑战,1,120,137,18,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-69a791bc7324,U-e2920171c54c,U-b24ef5a3242e,113,21,PENDING,b274efcd003c8b83f2c14b1caf0e0795ab8eb242954621e442a2cd916beed52a,,,NOT_RUN,NOT_RUN,
U-b24ef5a3242e,F00001,开头段 / 观点 / 平衡双轨,1,138,162,25,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-b24ef5a3242e,U-69a791bc7324,U-b08eea32974d,148,34,PENDING,69bb51ed9a94cce4f02d60612930b7df2af080a497ef9e1fd5cb47f2b90991e7,,,NOT_RUN,NOT_RUN,
U-b08eea32974d,F00001,第二段,1,163,164,2,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-b08eea32974d,U-b24ef5a3242e,U-3ccd5b385450,0,1,SKIPPED_PROTECTED,5ba8bd72cf5987240eb3abf90774ed8d673171cce875dc98366435ec5371372f,,,NOT_RUN,NOT_RUN,
U-3ccd5b385450,F00001,第二段 / 背景重述,1,165,189,25,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-3ccd5b385450,U-b08eea32974d,U-a771e001f155,0,34,SKIPPED_PROTECTED,d9dc145917a08b46990a87c79e7e08a351987e5e98e1d80f49f3f03e4715a3fa,,,NOT_RUN,NOT_RUN,
U-a771e001f155,F00001,第二段 / 举例论证,1,190,204,15,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-a771e001f155,U-3ccd5b385450,U-180a05ee7c73,0,13,SKIPPED_PROTECTED,7ba1f716e76c4ab51b5018fae7cdbc76c86ba726eb465fb07db2475c79695e92,,,NOT_RUN,NOT_RUN,
U-180a05ee7c73,F00001,第二段 / 因此,1,205,223,19,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-180a05ee7c73,U-a771e001f155,U-721685968224,26,18,PENDING,928e974676de08a1b7f53bdcd6c9d57fc323e7da881b956536e0a3871aafa87c,,,NOT_RUN,NOT_RUN,
U-721685968224,F00001,第三段,1,224,226,3,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-721685968224,U-180a05ee7c73,U-d5a1cf5a4be3,53,4,PENDING,53269f2366929e9b0a96e17445b88fafaeb6623d61313d96b41abea3dfe80e3c,,,NOT_RUN,NOT_RUN,
U-d5a1cf5a4be3,F00001,第三段 / 表层解释,1,227,252,26,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-d5a1cf5a4be3,U-721685968224,U-ffa87f391f2f,0,58,SKIPPED_PROTECTED,b6f708acc4faf239a197e036f24d366293fe3a70a72ff86bf8f81007adeda4d8,,,NOT_RUN,NOT_RUN,
U-ffa87f391f2f,F00001,第三段 / 深层机制,1,253,277,25,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ffa87f391f2f,U-d5a1cf5a4be3,U-ce00d84567be,0,63,SKIPPED_PROTECTED,4c5056ec490b8bb5c7628981cc51451a25d11cfabb0c38278c4274d17b252f9b,,,NOT_RUN,NOT_RUN,
U-ce00d84567be,F00001,第三段 / 思辨,1,278,313,36,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ce00d84567be,U-ffa87f391f2f,U-408572699f5b,3,78,PENDING,eea2c14e2fb4f0817a9372bc9458c3457f6bba0dae208a4e411dc6f7d556aef7,,,NOT_RUN,NOT_RUN,
U-408572699f5b,F00001,第三段 / 目的导向,1,314,329,16,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-408572699f5b,U-ce00d84567be,U-f97033ec9846,0,31,SKIPPED_PROTECTED,1eae8c0b4f501f7909ec16c226b3753f6f1597ed77d2d5ecae68a4f4324d38d9,,,NOT_RUN,NOT_RUN,
U-f97033ec9846,F00001,第四段,1,330,332,3,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-f97033ec9846,U-408572699f5b,U-c39aa5700775,0,1,SKIPPED_PROTECTED,84c79ce9677508e370d806daa1da5e5356a184d47375eb758ac87c99667d4d76,,,NOT_RUN,NOT_RUN,
U-c39aa5700775,F00001,第四段 / 定性收束,1,333,358,26,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-c39aa5700775,U-f97033ec9846,U-143b52d7dab8,0,35,SKIPPED_PROTECTED,cd3e207b245f07bc60852404f44b41922c9f9f010f2a59ee46c44f81399beded,,,NOT_RUN,NOT_RUN,
U-143b52d7dab8,F00001,第四段 / 行动分工,1,359,382,24,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-143b52d7dab8,U-c39aa5700775,U-ad754b1d654b,0,25,SKIPPED_PROTECTED,1ada834648eef159f8d4e08c60046783fb89395b985bf246db5f7c7446d22710,,,NOT_RUN,NOT_RUN,
U-ad754b1d654b,F00001,第四段 / 约束机制,1,383,406,24,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-ad754b1d654b,U-143b52d7dab8,U-733342b1bc62,0,24,SKIPPED_PROTECTED,3d287d378f7fc22372d9a72b01d908a38c6f879e5197969d5a7ddb856f91e10e,,,NOT_RUN,NOT_RUN,
U-733342b1bc62,F00001,第四段 / 愿景抬升,1,407,430,24,COURSE,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,2ff05813721cbc231a8b62e8483bd8e8bf0f7c3fa7ba114f83c4d6a17624659d,True,REWRITE,BALANCED,U-733342b1bc62,U-ad754b1d654b,,0,24,SKIPPED_PROTECTED,2dc695ea4015d78ac526d65d0027f61ae20380431d17cae2053ce78653df96a1,,,NOT_RUN,NOT_RUN,
