"script","path","exit_code","stdout","stderr","stdout_bytes","stderr_bytes"
"audit_humanize_generation_qualification.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\audit_humanize_generation_qualification.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\audit_humanize_generation_qualification.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\audit_humanize_generation_qualification.stderr.log","1309","0"
"build_humanize_action_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_action_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_action_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_action_profile.stderr.log","974","0"
"build_humanize_generator_projection.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_generator_projection.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_generator_projection.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_generator_projection.stderr.log","493","0"
"build_humanize_voice_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\build_humanize_voice_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_voice_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\build_humanize_voice_profile.stderr.log","1527","0"
"check_humanize_invariants.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\check_humanize_invariants.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\check_humanize_invariants.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\check_humanize_invariants.stderr.log","1260","0"
"extract_detector_report_scope.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\extract_detector_report_scope.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\extract_detector_report_scope.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\extract_detector_report_scope.stderr.log","617","0"
"finalize_humanize_long_document.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\finalize_humanize_long_document.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\finalize_humanize_long_document.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\finalize_humanize_long_document.stderr.log","946","0"
"load_humanize_negative_guards.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\load_humanize_negative_guards.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\load_humanize_negative_guards.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\load_humanize_negative_guards.stderr.log","320","0"
"prepare_humanize_candidate_revision.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_candidate_revision.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_candidate_revision.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_candidate_revision.stderr.log","1377","0"
"prepare_humanize_long_document.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_long_document.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_long_document.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_long_document.stderr.log","2324","0"
"prepare_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\prepare_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\prepare_humanize_second_pass.stderr.log","347","0"
"replay_humanize_long_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\replay_humanize_long_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\replay_humanize_long_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\replay_humanize_long_fixture.stderr.log","423","0"
"route_humanize_scene.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\route_humanize_scene.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\route_humanize_scene.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\route_humanize_scene.stderr.log","536","0"
"run_humanize_generation_trial.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\run_humanize_generation_trial.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\run_humanize_generation_trial.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\run_humanize_generation_trial.stderr.log","699","0"
"scan_humanize_chinese.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\scan_humanize_chinese.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\scan_humanize_chinese.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\scan_humanize_chinese.stderr.log","1081","0"
"seal_humanize_public_fixture.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\seal_humanize_public_fixture.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\seal_humanize_public_fixture.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\seal_humanize_public_fixture.stderr.log","2358","0"
"validate_humanize_candidate_queue.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_candidate_queue.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_candidate_queue.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_candidate_queue.stderr.log","1368","0"
"validate_humanize_output.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_output.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_output.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_output.stderr.log","3106","0"
"validate_humanize_voice_profile.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\validate_humanize_voice_profile.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_voice_profile.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\validate_humanize_voice_profile.stderr.log","1022","0"
"verify_humanize_second_pass.py","C:\Users\Lenovo\.codex\skills\humanize-academic-chinese\scripts\verify_humanize_second_pass.py","0","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\verify_humanize_second_pass.stdout.log","D:\code LateX\elegantbook\physics\build\maturity-v24-20260717\verification-docfix-20260717-192401481\help\verify_humanize_second_pass.stderr.log","598","0"
