序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
1	10第十一章 气体动理论.txt	example	46	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P330-332(旧：P362~363) 1, 3, 5, 10, 11, 13, 15, 17, 19 (共9题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
2	10第十一章 气体动理论.txt	example	234	已写入	见“已知 p,V,T 时怎样先数出分子总数”	例: 理想气体体积为 V ，压强为 p ，温度为 T ,一个 分子 的质量为 m ，k 为玻尔兹曼常量，则该理想气 体的分子数为是多少？ 思路：知道气体体积求总分子数，关键求分子数密度
3	10第十一章 气体动理论.txt	example	392	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例: 图为同一种气体，处于不同温度状态下的速率分 布曲线，试问: (1)哪一条曲线对应的温度高？(2) 如 果这两条曲线分别对应的是同一温度下氧气和氢气 的分布曲线，问哪条曲线对应的是氧气，哪条对应 的是氢气？
4	10第十一章 气体动理论.txt	example	407	已写入	见“从同温氢气和氧气的分布图怎样反推最概然速率”	例：如图示两条 f (v) ~ v 曲线分别表示氢气和氧气 在同一温度下的麦克斯韦速率分布曲线， 从图上数 据求出氢气和氧气的最概然速率 。 f (v) 解： 2RT
5	10第十一章 气体动理论.txt	example	506	改写并入	已改写为更通用的“区间分子数 + 阈上总能量”积分题	例: 已知分子数N，分子质量m，分布函数f(v) 求: 1) 速率在 vp ~ v 间的分子数； 2) 速率在 vp ~  间所有分子动能之和 。
6	10第十一章 气体动理论.txt	example	529	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例: 有N个粒子，其速率分布函数为 dN f (v ) f (v) = = C ( v0  v  0 ) Ndv C f (v) = 0 ( v  v0 )
7	10第十一章 气体动理论.txt	example	656	已写入	见 physics.tex《10第十一章 气体动理论》同题或等值例题	例：一瓶氦气和一瓶氮气质量密度相同，分子平均平 动动能相同，而且它们都处于平衡状态，则它们 （A）温度相同、压强相同 （B）温度、压强都不同 （C）温度相同，但氦气的压强大于氮气的压强
8	10第十一章 气体动理论.txt	example	784	已写入	见“容器骤停后温升为什么先看整体平动动能去哪了”	例：储有氧气的容器以速度v = 100m  s −1运动，假设该容器突然 停止，问容器中氧气的温度将会上升多少？
9	10第十一章 气体动理论.txt	example	805	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P330-332(旧：P362~363) 1, 3, 5, 10, 11, 13, 15, 17, 19 (共9题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
10	11第十二章 热力学第一定律.txt	example	13	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P359~361(旧：P391~393) 1, 4, 9, 11, 12, 17, 19, 20, 22, 23 (共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
11	11第十二章 热力学第一定律.txt	example	54	改写并入	已并入“平衡态、准静态过程与弛豫时间”与“改变内能的两种途径”	例：气缸内气体从非平衡态到平衡态的过渡时间，即弛豫 时间，约10 -3 秒 实际内燃机气缸内气体经历一次压缩的时间大约是10-2 秒 ➢改变热力学系统内能的两种途径  热传递：通过分子间的相互作用来完成，是系统外、内分
12	11第十二章 热力学第一定律.txt	example	91	改写并入	已并入“多方关系下的准静态体积功”	例：计算汽缸中理想气体从状态（ II（P2，V2）过程中对外所作的功。设气体在膨胀过程中压强 和体积的变化关系满足方程PV n = C，式中C为恒量，n是常数。
13	11第十二章 热力学第一定律.txt	example	152	改写并入	已并入“同一初末态下怎样分清谁与路径有关”	例：如图，系统沿过程曲线abc态变化到c态共吸收热量500 J，沿 过程曲线cda回到a态，向外放热300 J，外界对系统作功200 J， 求系统在abc过程中系统内能增加及对外作功。 Q = U + A
14	11第十二章 热力学第一定律.txt	example	306	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：一定量的理想气体，由物态a经b到达c（图中 abc为一直线）。求此过程中： p/atm (1) 气体对外做的功； a 3 (2) 气体内能的增量； b
15	11第十二章 热力学第一定律.txt	example	325	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例: 质量为2.810-3 kg，压强为1atm，温度为27℃的氮气。先在 体积不变的情况下使其压强增至3atm，再经等温膨胀使压强降至 1atm，然后又在等压过程中将体积压缩一半。试画出p -V图，并 求氮气在全部过程中的内能变化，所做的功以及吸收的热量。
16	11第十二章 热力学第一定律.txt	example	441	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：将压强为1.013 105 Pa, 体积为0.1L的氢气，绝热压缩到0.02 L， 求气体所做的功。
17	11第十二章 热力学第一定律.txt	example	469	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：设有 5 mol 的氢气，最初的压强为1.013105 Pa ， 温度为 20 C，求在下列过程中，把氢气压缩为原体积的 1/10 需作的功: 1) 等温过程，2) 绝热过程 。 p 2T 解: 1) 等温过程 p2 2 V2' m RT m V '
18	11第十二章 热力学第一定律.txt	example	593	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例: 1 mol 氦气经过如图所示的循环过程，其中 p2 = 2 p1 , V4 = 2V1 。求：1→2、2 → 3、3 → 4、4 → 1各过程 中气体吸收的热量和热机的效率 。
19	11第十二章 热力学第一定律.txt	example	726	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：一定量的理想气体，分别经历a b c、d e f 过程。 这两过程是吸热还是放热？ P P d a
20	11第十二章 热力学第一定律.txt	example	747	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例： 3210 -3 kg氧气作ABCD循环过程。A→B和C → D都为等温 过程，设T1 = 300 K，T2 = 200 K，V2 = 2V1。求循环效率。
21	11第十二章 热力学第一定律.txt	example	769	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例：一台电冰箱放在室温为 20 C 的房间里 ，冰箱储藏柜中的温 度维持在 5 C 。现每天有 2.0 10 J 的热量自房间传入冰箱内 , 7 若要维持冰箱内温度不变 , 外界每天需作多少功 , 其功率为多少? 设在 5 C 至 20 C 之间运转的制冷机 ( 冰箱 ) 的制冷系数, 是卡
22	11第十二章 热力学第一定律.txt	example	793	已写入	见 physics.tex《11第十二章 热力学第一定律》同题或等值例题	例: 计算奥托机的循环效率。c → d, e → b为等体过 程； b → c，d → e为绝热过程。 m m
23	11第十二章 热力学第一定律.txt	example	818	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P359~361(旧：P391~393) 1, 4, 9, 11, 12, 17, 19, 20, 22, 23 (共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
24	12第十三章 热力学第二定律.txt	example	17	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P378（旧：P409~410） 1, 2, 3, 4, 8 (共5题) 注意 本章作业不需提交，请自觉完成 3
25	14-1库仑定律.txt	exercise_index	67	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P38~42习题 4, 5, 6, 9, 10, 17, 19, 24, 33, 34, 35, 38 (共12题) 注意 作业用A4纸, 不抄题, 有题号
26	14-1库仑定律.txt	example	169	已写入	见 physics.tex《14-1库仑定律》同题或等值例题	例题1 例 : 三 个 点 电 荷 所 带 的 电 荷 量 分 别 为 q1=-86 C,q2=50C,q3=65C。各电荷间的距离如图所示。求 作用在q3上合力的大小和方向。 F32
27	14-1库仑定律.txt	example	211	作业索引非完整题干	OCR 截断，题干不足以识别为完整例题	例题2 −11
28	14-1库仑定律.txt	example	213	已写入	见 physics.tex《14-1库仑定律》同题或等值例题	例：在氢原子内,电子和质子的间距为 5.3 10 m 。 求它们之间电相互作用和万有引力,并比较它们的大小。 −19
29	14-5等势面 场强与电势的微分关系.txt	exercise_index	145	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P38~42习题 4, 5, 6, 9, 10, 17, 19, 24, 33, 34, 35, 38 (共12题) 注意  9月23日(星期二)交作业
30	15-1 静电场中的导体.txt	example	20	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P83~86 1, 3, 6, 7, 8, 9, 11, 14, 16, 17(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
31	15-1 静电场中的导体.txt	example	181	已写入	见 physics.tex《15-1 静电场中的导体》同题或等值例题	例题1 设有两个半径分别为R1和R2的金属球，它们周围无其 他带电体或导体，它们之间相距也非常远。今用一根 细导线把它们相连，若给它们带上一定电荷后，求它 们表面的电荷面密度之比。
32	15-1 静电场中的导体.txt	example	230	已写入	见 physics.tex《15-1 静电场中的导体》同题或等值例题	例题2 有一内半径R2，外半径为R3的金属球壳。在球壳中 放一半径为R1的同心金属球，球壳和球均带有q的 正电荷。问：(1)两球电荷分布；(2)球心的电势； (3)球壳电势。
33	15-1 静电场中的导体.txt	example	269	已写入	见 physics.tex《15-1 静电场中的导体》同题或等值例题	例题3 在一接地导体球附近，有一电量为+q的点电荷，q离导 体球球心的距离为r，球半径为R，求导体球上的感应 电荷的电量。 解：设导体上感应电荷为 q ' q '
34	15-1 静电场中的导体.txt	example	287	已写入	见 physics.tex《15-1 静电场中的导体》同题或等值例题	例题4 如图所示，有一半径为R的不带电的金属球，球外 不远处放置一点电荷，电荷量为q，与球心相距r， 试求金属球面上的感应电荷总量q’及感应电荷在距 球心O为l处的P点产生的电势。
35	15-1 静电场中的导体.txt	example	320	已写入	见 physics.tex《15-1 静电场中的导体》同题或等值例题	例题5 两块导体平板，面积为S，分别带电荷q1和q2，两极板 间距远小于平板的线度，求平板各表面的电荷密度。
36	15-2 静电场中的电介质.txt	example	152	已写入	见 physics.tex《15-2 静电场中的电介质》同题或等值例题	例题1 求均匀极化的电介质球表面上极化电荷的分布。  已知电极化强度为 P 。 球面极化
37	15-2 静电场中的电介质.txt	example	253	已写入	见 physics.tex《15-2 静电场中的电介质》同题或等值例题	例题2 把一块相对介电常数r=3的电介质，放在相距d=1 mm的 两平行带电平板之间。放入之前，两板的电势差是1000 V。试求两板间电介质内的电场强度E，电极化强度P， 电介质的极化电荷面密度，电介质内的电位移D。
38	15-2 静电场中的电介质.txt	example	271	已写入	见 physics.tex《15-2 静电场中的电介质》同题或等值例题	例题3 半径为R的金属球，带电荷q，浸埋在均匀“无限大” 油电介质(相对介电常数为  r )，求球外任一点的场强。
39	15-2 静电场中的电介质.txt	example	319	已写入	见 physics.tex《15-2 静电场中的电介质》同题或等值例题	例题4 图中是由半径为R1 的长直圆柱导体 和同轴的半径为R2 的薄导体圆筒组 − 成，其间充以相对电容率为  r 的电 + 介质。设直导体和圆筒单位长度上
40	15-3 电容和电容器.txt	example	11	已写入	见 physics.tex《15-3 电容和电容器》同题或等值例题	例：球形孤立导体的电容 Q Q Q U = C= = 4π 0 R 4π 0 R U R −4
41	15-3 电容和电容器.txt	example	102	已写入	见 physics.tex《15-3 电容和电容器》同题或等值例题	例题1 两半径为R的平行长直导线(电荷线密度为λ)，中心间距 为d，且dR, 求单位长度的电容。 λ λ 2R
42	15-3 电容和电容器.txt	example	160	已写入	见 physics.tex《15-3 电容和电容器》同题或等值例题	例题2 一平行板电容器，中间有两层厚度分别为d1和d2的电 介质，它们的相对介电常数分别为r1和r2，极板面 积为S，求电容。
43	15-3 电容和电容器.txt	example	177	已写入	见 physics.tex《15-3 电容和电容器》同题或等值例题	例题3 一平行板电容器充以两种不同的介质，每 种介质各占一半体积。求其电容。
44	15-4 电场的能量.txt	example	75	已写入	见 physics.tex《15-4 电场的能量》同题或等值例题	例题1 真空中一半径为R，带电荷量为Q的均匀带电球体， 求它的静电场能。 Qr
45	15-4 电场的能量.txt	example	101	已写入	见 physics.tex《15-4 电场的能量》同题或等值例题	例题2 如图所示,球形电容器的内、外半径分别为R1 和R2，所 带电荷为  Q 。若在两球壳间充介电常数 的电介质，  问此电容器贮存的电场能量为多少？  1 Q
46	15-4 电场的能量.txt	example	144	已写入	见 physics.tex《15-4 电场的能量》同题或等值例题	例题3 空气平行板电容器，面积为S，间距为d。现在把一 块厚度为t的铜板放入其中。（1）计算电容器的电 容改变量；（2）电容器充电Q后断开电源，再抽出 铜板需做多少功？
47	15-4 电场的能量.txt	example	160	已写入	见 physics.tex《15-4 电场的能量》同题或等值例题	例题4 一空气平行板电容器，电容为C，与电压为U 的电源 相连接，如图所示。若保持电容器与电源连接， 把两 极板间距增大至 n 倍。求外力所作的功。 + - -
48	15-4 电场的能量.txt	example	213	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P83-86 1, 3, 6, 7, 8, 9, 11, 14, 16, 17(共10题) 注意 下下周四(10月9日)交本章作业 作业用A4纸, 不抄题, 有题号
49	16-1稳恒电流.txt	example	136	已写入	见 physics.tex《16-1稳恒电流》同题或等值例题	例题1 一内、外半径分别为 R1和 R2 的金属圆筒，长度 l , 其电阻率  ，若筒内外电势差为 U ，且筒内缘电势 高，圆柱体中径向的电流强度为多少 ？ dr dr
50	16-3毕萨定律&16-4运动电荷的磁场.txt	example	41	已写入	见 physics.tex《16-3毕萨定律&16-4运动电荷的磁场》同题或等值例题	例题1 判断下列各点磁感强度的大小和方向。 1 8 2 1、5点 ：dB = 0
51	16-3毕萨定律&16-4运动电荷的磁场.txt	example	63	已写入	见 physics.tex《16-3毕萨定律&16-4运动电荷的磁场》同题或等值例题	例题2 载流直导线的磁场。 求载流直导线CD产生的B I Idl 在P点产生dB, 方向垂直版面向里 2 D
52	16-3毕萨定律&16-4运动电荷的磁场.txt	example	132	已写入	见 physics.tex《16-3毕萨定律&16-4运动电荷的磁场》同题或等值例题	例题3 圆形载流导线轴线上的磁场。
53	16-3毕萨定律&16-4运动电荷的磁场.txt	example	232	已写入	见 physics.tex《16-3毕萨定律&16-4运动电荷的磁场》同题或等值例题	例题4  载流直螺线管内部的磁场。 如图所示，有一长为l ，半径为R的载 流密绕直螺线管，螺线管的总匝数为N， 通有电流I。 设把螺线管放在真空中，求管
54	16-3毕萨定律&16-4运动电荷的磁场.txt	example	348	已写入	见 physics.tex《16-3毕萨定律&16-4运动电荷的磁场》同题或等值例题	例题5 半径为 R的带电薄圆盘的电荷面密度为 ，并以 角速度绕通过盘心垂直于盘面的轴转动，求圆 盘中心的磁感强度。
55	16-5磁场的高斯定理和安培环路定理.txt	example	47	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	例题1 如图载流长直导线的电流为I，试求通过矩形 面积的磁通量。 0 I  解： B = B 2π x
56	16-5磁场的高斯定理和安培环路定理.txt	example	182	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	安培环路定理的应用——例题2 求无限长载流圆柱体的磁场。 I
57	16-5磁场的高斯定理和安培环路定理.txt	example	218	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	例题3 求无限长载流圆柱面的磁场。 L1 r 0 I B R 2π R
58	16-5磁场的高斯定理和安培环路定理.txt	example	232	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	例题4 求长直密绕螺线管(单位长度的匝数为n)内磁场。
59	16-5磁场的高斯定理和安培环路定理.txt	example	319	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	例题5 求载流螺绕环内的磁场。
60	16-5磁场的高斯定理和安培环路定理.txt	example	336	已写入	见 physics.tex《16-5磁场的高斯定理和安培环路定理》同题或等值例题	例题6 无限大均匀平面电流 (线密度为i)的磁场
61	16-5磁场的高斯定理和安培环路定理.txt	example	368	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P117~119 1, 2, 3, 4, 13, 14, 16, 17 (共8题) 注意:  10月21日交本章作业  作业用A4纸, 不抄题, 有题号
62	17-1磁场对运动电荷的作用.txt	exercise_index	3	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P132~135习题 1, 4, 7, 11, 15 (共5题) 注意  作业用A4纸, 不抄题, 有题号  选择&填空题要有解题过程
63	17-2 磁场对载流导线的作用.txt	example	16	已写入	见 physics.tex《17-2 磁场对载流导线的作用》同题或等值例题	例题1 计算长为L的载流直导线在均匀磁场B中所 受的力。   
64	17-2 磁场对载流导线的作用.txt	example	33	已写入	见 physics.tex《17-2 磁场对载流导线的作用》同题或等值例题	例题2 无限长直载流导线通有电流I1 ，在同一平面内有长为 L的载流直导线，通有电流I2 （如图所示） 。求长为L  的导线所受的磁场力。 dF
65	17-2 磁场对载流导线的作用.txt	example	55	已写入	见 physics.tex《17-2 磁场对载流导线的作用》同题或等值例题	例题3 y 均匀磁场中半圆形 电流所受安培力。   B
66	17-2 磁场对载流导线的作用.txt	example	73	已写入	见 physics.tex《17-2 磁场对载流导线的作用》同题或等值例题	例题4 求如图不规则的平面载流  导线在均匀磁场中所受的  y  B
67	17-2 磁场对载流导线的作用.txt	example	96	已写入	见 physics.tex《17-2 磁场对载流导线的作用》同题或等值例题	例题5 载流为I0的无限长直导线,沿一半径为R的圆电流I的 直径AB放置。求： y dFy (1)半圆弧ADB受到的安培力; dF A x
68	17-3均匀磁场对载流线圈的作用&17-4磁力做功.txt	example	80	已写入	见 physics.tex《17-3均匀磁场对载流线圈的作用&17-4磁力做功》同题或等值例题	例题1 如图半径为R，电流为I，可绕轴旋转的圆形载流 线圈放在均匀磁场中 ，磁感应强度为B，方向沿 x 轴正向。问线圈所受的磁力矩为多少？
69	17-3均匀磁场对载流线圈的作用&17-4磁力做功.txt	example	137	已写入	见 physics.tex《17-3均匀磁场对载流线圈的作用&17-4磁力做功》同题或等值例题	例题2 有一半径为R的闭合载流线圈，通过电流I。今把它放在 均匀磁场中，磁感应强度为B，其方向与线圈平面平行。 求(1) 以直径为转轴，线圈所受磁力矩的大小和方向； (2) 在磁力矩作用下，线圈转过90o，磁力矩做了多少功？
70	17-3均匀磁场对载流线圈的作用&17-4磁力做功.txt	exercise_index	172	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	新教材P132~135习题 1, 4, 7, 11, 15 (共5题) 注意  本章作业和第18章作业一起交 10
71	18-1磁介质及其磁化.txt	exercise_index	3	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P152习题: 1, 5, 6 (共3题) 注意 本章作业与第17章一起交 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
72	18-2磁介质中的安培环路定理.txt	example	39	已写入	见 physics.tex《18-2磁介质中的安培环路定理》同题或等值例题	例题1 长直螺线管内充满均匀磁介质r，  单位长度上的匝数为n，通有电流 B I ，求管内的磁感应强度。 I . . .
73	18-2磁介质中的安培环路定理.txt	example	57	已写入	见 physics.tex《18-2磁介质中的安培环路定理》同题或等值例题	例题2 一半径为R1的无限长圆柱形直导线，外面包一层半 径为R2，相对磁导率为r 的圆筒形磁介质，通过导 线的电流为I ，求磁场强度和磁感应强度的分布。
74	18-2磁介质中的安培环路定理.txt	example	78	已写入	见 physics.tex《18-2磁介质中的安培环路定理》同题或等值例题	例题3 有两个半径分别为R1和R2的“无限长”同轴圆筒形 导体，在它们之间充以相对磁导率为μr 的磁介质。 当两圆筒通有相反方向的电流I时，试求磁感强度。
75	18-3铁磁质.txt	exercise_index	118	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P152习题: 1, 5, 6 (共3题) 注意 本章作业与第17章一起交（11月4号） 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
76	19-1电磁感应定律.txt	exercise_index	3	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P176习题 5, 7, 8, 9, 13, 14, 16 (共7题) 注意 作业用A4纸, 不抄题, 有题号 选择&填空题要有解题过程
77	19-1电磁感应定律.txt	example	188	已写入	见 physics.tex《19-1电磁感应定律》同题或等值例题	例题1 矩形导体的一边ab可以平行滑动，长为l 。整个回路放 在磁感强度为B、方向与其平面垂直的均匀磁场中。若 ab以恒定的速率v向右运动，求闭合回路的感应电动势。 d    
78	19-1电磁感应定律.txt	example	210	已写入	见 physics.tex《19-1电磁感应定律》同题或等值例题	例题2 一长直导线通以电流 i = I 0 sin  t ，旁边有一个共 面的矩形线圈abcd。求：线圈中的感应电动势。
79	19-1电磁感应定律.txt	example	228	已写入	见 physics.tex《19-1电磁感应定律》同题或等值例题	例题3 在无限长直载流导线的磁场中，有一运动的导体线框， 导体线框与载流导线共面。求线框中的感应电动势。
80	19-4磁场的能量.txt	example	58	已写入	见 physics.tex《19-4磁场的能量》同题或等值例题	例题 一根长直同轴电缆，由半径为R1 和R2 的两同心圆筒 导体组成，电缆中有恒定电流 I，经内层流进外层流 出形成回路。试计算长为l 的一段电缆内的磁场能量。 0 I
81	19-4磁场的能量.txt	exercise_index	119	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	P176习题 5, 7, 8, 9, 13, 14, 16 第20章(麦克斯韦方程组)：
82	19-4磁场的能量.txt	exercise_index	122	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	P188习题 1, 5, 7 注意 第19, 20章作业一起交 7
83	1第一章 质点运动学.txt	exercise_index	13	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P22-25习题 3, 5, 6, 8, 9, 11, 12, 14, 16, 19(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择填空题要有解题过程
84	1第一章 质点运动学.txt	thought	389	改写并入	已并入 physics.tex《1第一章 质点运动学》的概念澄清与误区提示	➢ 思考题 1. 质点作曲线运动，判断下列说法的正误：   r = r  r = r s = r 
85	1第一章 质点运动学.txt	example	540	改写并入	已并入“圆周运动与自然坐标系”对 a_τ, a_n 的判型讲解	例: 讨论下列情况时，质点各作什么运动? (1) aτ 等于0, an等于0, 质点做什么运动？ (2) aτ 等于0, an不等于0 , 质点做什么运动？ (3) aτ 不等于0, an等于0 , 质点做什么运动？ (4) aτ 不等于0, an不等于0 , 质点做什么运动？
86	1第一章 质点运动学.txt	example	571	已写入	见 physics.tex《1第一章 质点运动学》同题或等值例题	例：半径为r = 0.2 m的飞轮，可绕 O 轴转动。已知 轮缘上一点M的运动方程为  = −t + 4t ，求在1秒时 2 刻M点的速度和加速度。 d  d
87	1第一章 质点运动学.txt	example	599	已写入	见 physics.tex《1第一章 质点运动学》同题或等值例题	例：一质点沿半径为R的圆周运动，其路程s随时间 t 的变化规律为 s = bt − 1 2  ct ，式中b，c为大于零 2 的常数，且 b 2  Rc 。求（1）质点的切向加速度 和法向加速度。（2）经过多长时间，切向加速度
88	1第一章 质点运动学.txt	exercise_index	847	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	课本P22-25习题 3, 5, 6, 8, 9, 11, 12, 14, 16, 19(共10题) 注意 作业用A4纸, 不抄题, 有题号 选择填空题要有解题过程
89	20麦克斯韦方程组.txt	exercise_index	538	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	P176习题 5, 7, 8, 9, 13, 14, 16 第20章(麦克斯韦方程组)：
90	20麦克斯韦方程组.txt	exercise_index	540	作业索引非完整题干	作业页/章节页/索引页信息，非完整逐题题干	P188习题 1, 5, 7 注意 11月20号(周四)交第19,20章作业 32
91	21-2&3&4 狭义相对论时空观&动力学.txt	example	374	改写并入	已并入“低速修正量级与静能量级”	例：v =104 m/s m m − mo  10−10 mo m0 o Cv
