ref	path	w	h	aspect	blank_ratio	content_w	content_h	left_margin	top_margin	right_margin	bottom_margin	touch	flags
pdf-exercises/pdf2006-q03-friction-angle.png	image/pdf-exercises/pdf2006-q03-friction-angle.png	176	154	1.143	0.8257	75	63	12	12	89	79		high-blank
pdf-exercises/pdf2007-q02-light-pulley-force.png	image/pdf-exercises/pdf2007-q02-light-pulley-force.png	140	148	0.946	0.5027	92	112	24	12	24	24		
pdf-exercises/pdf2009-q02-conical-pendulum.png	image/pdf-exercises/pdf2009-q02-conical-pendulum.png	200	279	0.717	0.6537	113	171	8	8	79	100		
pdf-exercises/pdf2009-q11-spring-stack.png	image/pdf-exercises/pdf2009-q11-spring-stack.png	174	160	1.087	0.7948	68	84	12	20	94	56		high-blank
pdf-exercises/pdf2005-q12-rotating-hoop.png	image/pdf-exercises/pdf2005-q12-rotating-hoop.png	426	566	0.753	0.4915	316	388	58	103	52	75		
pdf-exercises/pdf2003-q01-triangle.png	image/pdf-exercises/pdf2003-q01-triangle.png	146	247	0.591	0.4509	110	180	12	19	24	48		
pdf-exercises/pdf2003-q03-sphere.png	image/pdf-exercises/pdf2003-q03-sphere.png	185	153	1.209	0.3841	149	117	12	12	24	24		
pdf-exercises/pdf2004-q02-boats.png	image/pdf-exercises/pdf2004-q02-boats.png	506	386	1.311	0.6084	418	183	45	115	43	88		
pdf-exercises/pdf2003-q11-hole.png	image/pdf-exercises/pdf2003-q11-hole.png	846	476	1.777	0.2155	782	404	30	54	34	18		
pdf-exercises/pdf2004-q12-steel-balls.png	image/pdf-exercises/pdf2004-q12-steel-balls.png	746	616	1.211	0.2542	676	507	46	91	24	18		
pdf-exercises/pdf2004-q03-satellite.png	image/pdf-exercises/pdf2004-q03-satellite.png	526	311	1.691	0.5583	397	182	92	79	37	50		
pdf-exercises/pdf2005-q04-circle-work.png	image/pdf-exercises/pdf2005-q04-circle-work.png	187	230	0.813	0.361	151	182	12	24	24	24		
pdf-exercises/pdf2003-q21-pulley.png	image/pdf-exercises/pdf2003-q21-pulley.png	163	227	0.718	0.3444	127	191	12	12	24	24		
pdf-exercises/pdf2004-q20-double-pulley.png	image/pdf-exercises/pdf2004-q20-double-pulley.png	506	576	0.878	0.4092	420	410	26	110	60	56		
pdf-exercises/pdf2006-q21-composite-wheel.png	image/pdf-exercises/pdf2006-q21-composite-wheel.png	181	155	1.168	0.6873	82	107	5	6	94	42		
pdf-exercises/pdf2007-q21-stacked-block-pulley.png	image/pdf-exercises/pdf2007-q21-stacked-block-pulley.png	191	73	2.616	0.3955	172	49	7	12	12	12		
pdf-exercises/pdf2008-q12-block-pulley.png	image/pdf-exercises/pdf2008-q12-block-pulley.png	181	103	1.757	0.3389	156	79	13	12	12	12		
pdf-exercises/pdf2009-q21-double-pulley.png	image/pdf-exercises/pdf2009-q21-double-pulley.png	232	174	1.333	0.6804	133	97	8	7	91	70		
pdf-exercises/pdf2008-q21-pendulum-rod.png	image/pdf-exercises/pdf2008-q21-pendulum-rod.png	446	486	0.918	0.3834	405	330	23	115	18	41		
pdf-exercises/pdf2005-q21-bullet-rod.png	image/pdf-exercises/pdf2005-q21-bullet-rod.png	240	151	1.589	0.4202	204	103	12	24	24	24		
pdf-exercises/pdf2009-q12-bullet-rod-offset.png	image/pdf-exercises/pdf2009-q12-bullet-rod-offset.png	164	171	0.959	0.769	82	79	12	20	70	72		high-blank
pdf-exercises/pdf2003-q12-spring-incline.png	image/pdf-exercises/pdf2003-q12-spring-incline.png	406	446	0.91	0.3388	365	328	18	100	23	18		
pdf-exercises/pdf2003-q17-vibration.png	image/pdf-exercises/pdf2003-q17-vibration.png	576	546	1.055	0.35	531	385	18	107	27	54		
pdf-exercises/pdf2006-q07-vt-phase.png	image/pdf-exercises/pdf2006-q07-vt-phase.png	666	386	1.725	0.3512	556	300	70	59	40	27		
pdf-exercises/pdf2006-q16-phase-lead.png	image/pdf-exercises/pdf2006-q16-phase-lead.png	338	364	0.929	0.7697	161	176	12	12	165	176		high-blank
pdf-exercises/pdf2005-q15-rotating-vector.png	image/pdf-exercises/pdf2005-q15-rotating-vector.png	496	446	1.112	0.5133	370	291	98	136	28	19		
pdf-exercises/pdf2010-mock-q07-wave-velocity.png	image/pdf-exercises/pdf2010-mock-q07-wave-velocity.png	2526	1023	2.469	0.2498	2249	862	219	103	58	58		
pdf-exercises/pdf2010-mock-q23-two-waveforms.png	image/pdf-exercises/pdf2010-mock-q23-two-waveforms.png	816	616	1.325	0.3537	674	482	114	83	28	51		
pdf-exercises/pdf2003-q07-wave.png	image/pdf-exercises/pdf2003-q07-wave.png	246	170	1.447	0.3271	210	134	12	12	24	24		
pdf-exercises/pdf2005-q08-sources.png	image/pdf-exercises/pdf2005-q08-sources.png	266	109	2.44	0.4511	218	73	24	12	24	24		
pdf-exercises/pdf2005-q23-wave.png	image/pdf-exercises/pdf2005-q23-wave.png	656	381	1.722	0.4576	493	275	65	69	98	37		
pdf-exercises/pdf2008-q08-wave-negative.png	image/pdf-exercises/pdf2008-q08-wave-negative.png	177	124	1.427	0.3029	153	100	12	12	12	12		
pdf-exercises/pdf2007-q07-lloyd-mirror.png	image/pdf-exercises/pdf2007-q07-lloyd-mirror.png	456	386	1.181	0.2225	399	343	39	25	18	18		
pdf-exercises/pdf2003-q08-film.png	image/pdf-exercises/pdf2003-q08-film.png	242	212	1.142	0.3415	206	164	12	24	24	24		
pdf-exercises/pdf2004-q09-wedge-defect.png	image/pdf-exercises/pdf2004-q09-wedge-defect.png	536	606	0.884	0.2253	473	532	38	56	25	18		
pdf-exercises/pdf2009-q10-wedge-defect.png	image/pdf-exercises/pdf2009-q10-wedge-defect.png	616	496	1.242	0.433	488	355	80	113	48	28		
pdf-exercises/pdf2005-q17-mica-double-slit.png	image/pdf-exercises/pdf2005-q17-mica-double-slit.png	426	536	0.795	0.4733	359	335	49	126	18	75		
pdf-exercises/pdf2005-q18-newton-ring-lift.png	image/pdf-exercises/pdf2005-q18-newton-ring-lift.png	185	156	1.186	0.3856	149	119	12	13	24	24		
pdf-exercises/pdf2007-q09-single-slit-scale.png	image/pdf-exercises/pdf2007-q09-single-slit-scale.png	177	113	1.566	0.4803	135	77	18	12	24	24		
pdf-exercises/pdf2004-q19-single-slit.png	image/pdf-exercises/pdf2004-q19-single-slit.png	390	270	1.444	0.1113	367	255	9	4	14	11		
pdf-exercises/pdf2003-q10-calcite.png	image/pdf-exercises/pdf2003-q10-calcite.png	242	547	0.442	0.4575	188	382	18	68	36	97		
pdf-exercises/pdf2006-q13-maxwell-interval.png	image/pdf-exercises/pdf2006-q13-maxwell-interval.png	626	491	1.275	0.3032	552	388	53	82	21	21		
pdf-exercises/pdf2005-q22-pv-adiabatic.png	image/pdf-exercises/pdf2005-q22-pv-adiabatic.png	676	456	1.482	0.3292	576	359	58	55	42	42		
pdf-exercises/pdf2005-q06-adiabatic-paths.png	image/pdf-exercises/pdf2005-q06-adiabatic-paths.png	367	265	1.385	0.15	343	241	12	12	12	12		
pdf-exercises/pdf2006-q22-pv-cycle.png	image/pdf-exercises/pdf2006-q22-pv-cycle.png	259	169	1.533	0.4621	193	122	28	12	38	35		
pdf-exercises/pdf2009-q15-pv-semicircle.png	image/pdf-exercises/pdf2009-q15-pv-semicircle.png	435	250	1.74	0.7757	182	134	16	20	237	96		high-blank
pdf-exercises/pdf2009-q22-tv-cycle.png	image/pdf-exercises/pdf2009-q22-tv-cycle.png	491	406	1.209	0.387	402	304	65	84	24	18		
pdf-exercises/pdf2008-q22-pv-cycle.png	image/pdf-exercises/pdf2008-q22-pv-cycle.png	416	386	1.078	0.333	350	306	41	62	25	18		
pdf-exercises/pdf2008-q15-pt-cycle.png	image/pdf-exercises/pdf2008-q15-pt-cycle.png	626	506	1.237	0.444	461	382	47	53	118	71		
pdf-exercises/pdf2003-q22-pv-cycle.png	image/pdf-exercises/pdf2003-q22-pv-cycle.png	636	541	1.176	0.2019	588	467	30	48	18	26		
pdf-exercises/pdf2004-q06-pv-ab.png	image/pdf-exercises/pdf2004-q06-pv-ab.png	406	456	0.89	0.5143	291	309	84	93	31	54		
